sample_id,task,original_text,hypothesis,dialect_text,label,target_dialect,domain,confidence,annotator_id,review_count,final_status,annotation_type,sample_group
SENT_0018,SENT,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",,"thời buổi bây giờ chuyện gì cũng có thể xảy ra, vậy nên thôi nghỉ, đừng nên tin ai",Fear,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0018
SENT_0070,SENT,xem cái này mới biết vốn tiếng anh của mình cũng khá !,,xem cái này mới biết vốn tiếng anh của mình cũng khá !,Surprise,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0070
SENT_0018,SENT,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",,"thời buổi bây giờ chuyện gì cũng có thể xảy ra, vậy nên thôi chứ, đừng nên tin ai",Fear,PNT1,Daily Conversation,high,6b0ccea8-04fe-4c9c-82c8-309e147936f4,0,finalized,qualification,SENT_0018
SENT_0192,SENT,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,,may mình đi làm rồi chứ 10 năm trước chắc sẽ mệt với ba má vì họ tin con nhà người ta như vậy,Enjoyment,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0192
SENT_0070,SENT,xem cái này mới biết vốn tiếng anh của mình cũng khá !,,coi cái ni mới biết vốn tiếng anh của tau cũng khá!,Surprise,PNT1,Daily Conversation,high,6b0ccea8-04fe-4c9c-82c8-309e147936f4,0,finalized,qualification,SENT_0070
SENT_0237,SENT,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",,"có ai nhìn thấy hình như ông này đang đau khổ lắm không ? mình thấy hình như ổng đang rất đau , mà không thể or không muốn nói .",Sadness,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0237
SENT_0192,SENT,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,,May mà tau đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta thế này,Enjoyment,PNT1,Daily Conversation,high,6b0ccea8-04fe-4c9c-82c8-309e147936f4,0,finalized,qualification,SENT_0192
MCQA_0025_10,MCQA,"Mai đã nói gì khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, thế thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.","Thôi cô ạ, cứ để bạn Lan viết trước.","Mai đã nói chi khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, rứa thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.",B,PNT4,Daily Conversation,high,5ea76d15-516d-4285-a781-7b1c6a04a627,0,unknown,rewrite,MCQA_0025_10
MCQA_0025_10,MCQA,"Mai đã nói gì khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, thế thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.","Thôi cô ạ, cứ để bạn Lan viết trước.","Mai đã nói gì khi cô cũng quyết định cho mình viết viết mực?
A. Dạ thôi cô, con không thích viết viết mực.
B. Dạ thôi cô, để bạn Lan viết trước.
C. Dạ thôi cô, vậy con không cho Lan mượn viết nữa.
D. Dạ thôi cô, con nhường bạn Lan viết viết mực.",B,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,MCQA_0025_10
QA_0268,QA,Các toán hạng được chứa trong chỉ thị như thế nào thì được gọi là giá trị tức thời?,các chỉ thị thực (như cộng hay so sánh),Các toán hạng được chứa trong chỉ thị ra sao thì được gọi là giá trị tức thời?,các chỉ thị thực (như cộng hay so sánh),PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,QA_0268
SENT_0343,SENT,"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?",,"má, thiệt chứ tụi này nuôi làm gì vậy ta ?",Anger,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0343
