standard_span,dialect_span,n_occurrences_total,dialects,tasks,sample_ids,CATEGORY,NOTES
vào,vô,180,"PNN, PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT",MCQA_0013_4; MCQA_0016_0; MCQA_0041_5; MCQA_0047_2; MCQA_0074_5,Connectives/Aspect markers,
các,mấy,73,"PNN, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT",MCQA_0018_6; MCQA_0039_4; MCQA_0062_0; MCQA_0062_2; MCQA_0065_5,Negation/Function words,
và,với,64,"PNN, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT",MCQA_0012_5; MCQA_0013_3; MCQA_0013_4; MCQA_0036_5; MCQA_0048_2,Connectives/Aspect markers,
đến,tới,46,"PNN, PNT1, PNT3, PNT4","MCQA, NLI, QA, SENT",MCQA_0037_4; MCQA_0039_4; MCQA_0055_0; MCQA_0056_1; MCQA_0064_1,Connectives/Aspect markers,
những,mấy,44,"PNN, PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT",MCQA_0002_4; MCQA_0047_2; MCQA_0064_1; MCQA_0072_2; MCQA_0116_5,Negation/Function words,
như thế nào,a răng,30,"PNT2, PNT3","MCQA, QA",MCQA_0018_4; MCQA_0018_6; MCQA_0025_9; MCQA_0036_5; MCQA_0042_7,Interrogatives,
vì,tại,29,"PNB, PNN, PNT2, PNT4","MCQA, NLI, QA, SENT",MCQA_0010_1; MCQA_0012_5; MCQA_0016_0; MCQA_0074_5; MCQA_0074_6,Connectives/Aspect markers,
tại,ở,20,"PNB, PNN, PNT3, PNT4","MCQA, NLI, QA",MCQA_0062_2; NLI_0516; NLI_5263; QA_12824; QA_14184,Connectives/Aspect markers,
vào,hồi,17,"PNN, PNT3, PNT4","MCQA, NLI, QA",MCQA_0016_0; NLI_3108; QA_12824; QA_14728; QA_17724,Connectives/Aspect markers,
xem,coi,16,"PNB, PNN, PNT1","MCQA, NLI, QA, SENT",MCQA_0051_4; MCQA_0114_1; MCQA_0114_6; NLI_2899; QA_14257,Predicate vocabulary,
và,rồi,15,"PNN, PNT1, PNT3, PNT4","MCQA, NLI",MCQA_0037_2; MCQA_0060_2; MCQA_0091_0; MCQA_0095_1; MCQA_0100_1,Connectives/Aspect markers,
rằng,là,14,"PNN, PNT2, PNT3, PNT4","MCQA, NLI, QA",MCQA_0042_7; MCQA_0100_1; NLI_1921; NLI_4746; NLI_4856,Connectives/Aspect markers,
việc,chuyện,14,"PNN, PNT3, PNT4","MCQA, NLI, QA, SENT",MCQA_0013_3; MCQA_0042_7; MCQA_0072_2; MCQA_0074_5; MCQA_0148_3,Predicate vocabulary,
đã làm gì,đạ mần chi,12,"PNT2, PNT3","MCQA, QA",MCQA_0004_3; MCQA_0037_2; MCQA_0043_3; MCQA_0048_5; MCQA_0055_0,Interrogatives,
như thế nào,ra răng,11,"PNT1, PNT2","MCQA, NLI, QA",MCQA_0064_1; MCQA_0065_2; MCQA_0081_3; MCQA_0090_10; MCQA_0090_6,Interrogatives,
nước,nác,10,"PNT1, PNT2, PNT3",MCQA,MCQA_0055_1; MCQA_0096_0; MCQA_0116_5; MCQA_0151_1; MCQA_0151_3,Predicate vocabulary,
như thế nào,răng,9,"PNT1, PNT4","MCQA, QA, SENT",MCQA_0018_4; MCQA_0018_6; MCQA_0025_9; MCQA_0036_5; MCQA_0041_5,Interrogatives,
bọn,tụi,8,"PNN, PNT4",SENT,SENT_0958; SENT_4745; SENT_4768; SENT_4964; SENT_4989,Pronouns,
dẫn,dắt,8,"PNN, PNT1",MCQA,MCQA_0064_1,Predicate vocabulary,
chứ,chớ,8,"PNT1, PNT4",SENT,SENT_0192; SENT_0343; SENT_1146; SENT_3750; SENT_3910,Discourse particles,
