Model,Task,Std.,Dialect,Drop,Harmful flip,Beneficial flip,Prediction flip,Dialect disagree,Std. n,Dialect n
Qwen2.5 0.5B,MCQA,68.0,60.5,7.5,11.7,4.2,19.7,11.8,100,600
Qwen2.5 0.5B,NLI,33.0,33.0,0.0,0.0,0.0,0.0,0.0,100,600
Qwen2.5 0.5B,QA,38.9,29.8,9.2,3.8,0.8,55.5,23.5,100,600
Qwen2.5 0.5B,Sentiment,24.0,22.5,1.5,4.2,2.7,19.7,12.0,100,600
Qwen2.5 3B,MCQA,92.0,88.0,4.0,4.2,0.2,4.7,2.8,100,600
Qwen2.5 3B,NLI,55.0,54.3,0.7,5.2,4.5,11.0,10.0,100,600
Qwen2.5 3B,QA,69.2,62.7,6.4,4.3,1.3,27.0,14.2,100,600
Qwen2.5 3B,Sentiment,51.0,44.7,6.3,10.8,4.5,23.5,15.8,100,600
Qwen2.5 7B,MCQA,91.0,87.8,3.2,3.8,0.7,5.0,3.5,100,600
Qwen2.5 7B,NLI,64.0,61.2,2.8,5.5,2.7,10.0,8.5,100,600
Qwen2.5 7B,QA,74.7,69.8,4.9,7.0,5.2,23.3,14.2,100,600
Qwen2.5 7B,Sentiment,38.0,38.2,-0.2,7.3,7.5,24.7,15.2,100,600
Llama 3.1 8B,MCQA,87.0,83.2,3.8,5.3,1.5,7.5,5.5,100,600
Llama 3.1 8B,NLI,48.0,45.5,2.5,5.7,3.2,10.3,9.2,100,600
Llama 3.1 8B,QA,79.4,76.5,2.9,4.3,3.5,14.7,9.2,100,600
Llama 3.1 8B,Sentiment,43.0,39.8,3.2,8.2,5.0,22.8,15.2,100,600
Mistral 7B,MCQA,73.0,70.7,2.3,6.3,4.0,12.0,8.8,100,600
Mistral 7B,NLI,47.0,47.8,-0.8,5.2,6.0,16.0,12.8,100,600
Mistral 7B,QA,54.3,42.0,12.2,10.5,2.7,43.0,19.8,100,600
Mistral 7B,Sentiment,37.0,35.7,1.3,8.2,6.8,27.5,15.8,100,600
Gemma 2 9B,MCQA,94.0,94.2,-0.2,1.0,1.2,2.2,2.0,100,600
Gemma 2 9B,NLI,63.0,61.0,2.0,5.0,3.0,10.2,9.2,100,600
Gemma 2 9B,QA,84.1,81.8,2.3,6.2,2.8,15.3,10.5,100,600
Gemma 2 9B,Sentiment,49.0,43.2,5.8,8.7,2.8,15.3,9.5,100,600
Gemma 3 4B,MCQA,89.0,87.8,1.2,2.5,1.3,4.3,3.8,100,600
Gemma 3 4B,NLI,55.0,52.2,2.8,8.2,5.3,16.5,13.5,100,600
Gemma 3 4B,QA,79.6,75.6,3.9,3.8,3.8,18.7,13.8,100,600
Gemma 3 4B,Sentiment,43.0,41.7,1.3,7.2,5.8,25.2,13.5,100,600
Vistral 7B,MCQA,88.0,87.2,0.8,2.2,1.3,4.2,3.5,100,600
Vistral 7B,NLI,19.0,18.5,0.5,1.3,0.8,14.3,11.0,100,600
Vistral 7B,QA,66.2,61.5,4.7,2.5,0.3,26.5,13.8,100,600
Vistral 7B,Sentiment,32.0,32.0,0.0,4.0,4.0,24.3,14.5,100,600
SeaLLM 7B,MCQA,91.0,88.3,2.7,3.7,1.0,4.8,3.8,100,600
SeaLLM 7B,NLI,46.0,44.8,1.2,6.8,5.7,14.2,9.0,100,600
SeaLLM 7B,QA,74.3,68.2,6.0,8.7,3.3,26.0,13.5,100,600
SeaLLM 7B,Sentiment,37.0,37.0,0.0,4.2,4.2,18.5,12.8,100,600
GPT-4o,MCQA,94.0,93.8,0.2,0.5,0.3,1.3,1.2,100,600
GPT-4o,NLI,74.0,71.2,2.8,7.0,4.2,12.7,8.5,100,600
GPT-4o,QA,83.2,83.8,-0.5,2.3,3.0,12.7,8.0,100,600
GPT-4o,Sentiment,60.0,58.5,1.5,6.5,5.0,14.5,8.8,100,600
