sample_id,task,target_dialect,opcode,standard_span,dialect_span,category,source
MCQA_0013_3,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0013_3,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0013_3,MCQA,PNT2,replace,làm,mần,Predicate vocabulary,lexicon_match
MCQA_0013_3,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0013_3,MCQA,PNT3,replace,bố,ba,Kinship/Honorific terms,lexicon_match
MCQA_0013_4,MCQA,PNN,replace,làm,mần,Predicate vocabulary,lexicon_match
MCQA_0013_4,MCQA,PNT1,replace,về,viền,Predicate vocabulary,lexicon_match
MCQA_0013_4,MCQA,PNT2,replace,nào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0013_4,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0013_4,MCQA,PNT2,replace,làm,mần,Predicate vocabulary,lexicon_match
MCQA_0013_4,MCQA,PNT2,replace,đã,dạ,Connectives/Aspect markers,lexicon_match
MCQA_0014_1,MCQA,PNT1,replace,đâu,mô,Negation/Function words,lexicon_match
MCQA_0014_1,MCQA,PNT2,replace,đâu,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0014_1,MCQA,PNT3,replace,đâu vào,mô,Interrogatives; Negation/Function words,lexicon_match
MCQA_0016_0,MCQA,PNT2,replace,làm gì vào,mần chi,Interrogatives,lexicon_match
MCQA_0016_5,MCQA,PNT2,replace,đã,đạ,Connectives/Aspect markers,lexicon_match
MCQA_0016_5,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0016_5,MCQA,PNT2,replace,như vậy,a rứa,Demonstratives/Deixis,lexicon_match
MCQA_0016_5,MCQA,PNT2,replace,nay,ni,Demonstratives/Deixis,lexicon_match
MCQA_0016_5,MCQA,PNT2,replace,nhỉ,hè,Discourse particles,lexicon_match
MCQA_0016_5,MCQA,PNT3,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0016_5,MCQA,PNT3,replace,vậy,rứa,Demonstratives/Deixis,lexicon_match
MCQA_0016_5,MCQA,PNT3,replace,nay,ni,Demonstratives/Deixis,lexicon_match
MCQA_0016_5,MCQA,PNT3,replace,nhỉ,hè,Discourse particles,lexicon_match
MCQA_0018_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0018_4,MCQA,PNN,replace,như thế nào,sao,Interrogatives,lexicon_match
MCQA_0018_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0018_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0018_4,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0018_4,MCQA,PNT2,replace,gì,chi,Interrogatives,lexicon_match
MCQA_0018_6,MCQA,PNN,delete,thế,,Demonstratives/Deixis,lexicon_match
MCQA_0018_6,MCQA,PNN,replace,không,hông,Negation/Function words,lexicon_match
MCQA_0018_6,MCQA,PNT1,insert,,mô,Negation/Function words,lexicon_match
MCQA_0018_6,MCQA,PNT2,replace,không,nỏ,Negation/Function words,lexicon_match
MCQA_0018_6,MCQA,PNT3,replace,thế nào,răng,Interrogatives,lexicon_match
MCQA_0020_1,MCQA,PNB,delete,ấy,,Demonstratives/Deixis,lexicon_match
