target_dialect,opcode,standard_span,dialect_span,n_occurrences,n_distinct_samples,tasks,example_sample_ids,category
PNB,replace,tại,ở,4,4,QA,QA_14184; QA_22620; QA_4887; QA_8137,Connectives/Aspect markers
PNB,replace,bạn,cô,3,1,MCQA,MCQA_0056_1,Pronouns
PNB,replace,miền,vùng,3,1,MCQA,MCQA_0062_2,Predicate vocabulary
PNB,replace,mẩu,mảnh,3,2,MCQA,MCQA_0047_2; MCQA_0047_4,Predicate vocabulary
PNB,replace,z,vậy,3,1,SENT,SENT_3427,Noise/Non-linguistic
PNB,replace,dí,đuổi,2,1,SENT,SENT_5407,Predicate vocabulary
PNB,replace,heo,lợn,2,1,SENT,SENT_4035,Predicate vocabulary
PNB,replace,nữa,nửa,2,2,QA,QA_19280; QA_3410,Orthographic variant
PNB,replace,ta,mình,2,2,MCQA; SENT,MCQA_0042_2; SENT_3555,Pronouns
PNB,replace,thẹo,sẹo,2,1,SENT,SENT_1146,Predicate vocabulary
PNB,replace,trải,rải,2,1,QA,QA_14728,Predicate vocabulary
PNB,replace,tới,đến,2,1,SENT,SENT_1161,Connectives/Aspect markers
PNB,replace,""" nghìn mét ""","""nghìn mét""",1,1,SENT,SENT_1222,Predicate vocabulary
PNB,replace,""" tại","""tại",1,1,SENT,SENT_3555,Connectives/Aspect markers
PNB,replace,1,một,1,1,SENT,SENT_4964,Noise/Non-linguistic
PNB,replace,all,tất cả,1,1,SENT,SENT_3763,Predicate vocabulary
PNB,replace,anh ấy,mình,1,1,NLI,NLI_5368,Pronouns
PNB,replace,bả,bã,1,1,MCQA,MCQA_0065_2,Pronouns
PNB,replace,bịn rịn,lưu luyến,1,1,MCQA,MCQA_0081_3,Predicate vocabulary
PNB,replace,bổg m,bổng mày,1,1,SENT,SENT_3520,Predicate vocabulary
PNB,replace,bởi,từ,1,1,QA,QA_0572,Connectives/Aspect markers
PNB,replace,bứt,đứt,1,1,MCQA,MCQA_0095_1,Predicate vocabulary
PNB,replace,chau,cháu,1,1,SENT,SENT_3273,Predicate vocabulary
PNB,replace,chay,chạy,1,1,SENT,SENT_1222,Predicate vocabulary
PNB,replace,chetme,chết khiếp,1,1,SENT,SENT_5456,Noise/Non-linguistic
PNB,replace,chiện,chuyện,1,1,SENT,SENT_4428,Predicate vocabulary
PNB,replace,cho cắm,chó cắn,1,1,SENT,SENT_3273,Connectives/Aspect markers
PNB,replace,chôm,trộm,1,1,SENT,SENT_1485,Predicate vocabulary
PNB,replace,chúng,bọn,1,1,NLI,NLI_4266,Pronouns
PNB,replace,chạy,phóng,1,1,SENT,SENT_5456,Predicate vocabulary
PNB,replace,chết,mất,1,1,MCQA,MCQA_0062_2,Predicate vocabulary
PNB,replace,chớ,chứ,1,1,SENT,SENT_5315,Orthographic variant
PNB,replace,chừ,giờ,1,1,SENT,SENT_0018,Orthographic variant
PNB,replace,con mẹ,mụ,1,1,SENT,SENT_5315,Kinship/Honorific terms
PNB,replace,câu hỏi,thắc mắc,1,1,NLI,NLI_6637,Predicate vocabulary
PNB,replace,có,còn,1,1,SENT,SENT_1093,Predicate vocabulary
PNB,replace,cảnh sát,công an,1,1,SENT,SENT_5456,Predicate vocabulary
PNB,replace,cặp,gắp,1,1,MCQA,MCQA_0041_5,Predicate vocabulary
PNB,replace,cứ phải,toàn như,1,1,SENT,SENT_0814,Demonstratives/Deixis
PNB,replace,do,vì,1,1,NLI,NLI_3269,Noise/Non-linguistic
PNB,replace,dàn,dần,1,1,QA,QA_24045,Orthographic variant
PNB,replace,dã man,khinh khủng,1,1,SENT,SENT_0534,Noise/Non-linguistic
PNB,replace,dạt,trôi,1,1,MCQA,MCQA_0095_1,Predicate vocabulary
PNB,replace,dịu cơn,đỡ,1,1,MCQA,MCQA_0016_0,Predicate vocabulary
PNB,replace,dữ vậy,kinh thế,1,1,SENT,SENT_4959,Noise/Non-linguistic
PNB,replace,gàn dở,ngớ ngẩn,1,1,MCQA,MCQA_0030_3,Predicate vocabulary
PNB,replace,góp,tặng,1,1,MCQA,MCQA_0092_2,Predicate vocabulary
PNB,replace,gấu,người yêu,1,1,SENT,SENT_1894,Predicate vocabulary
PNB,replace,halo,hãm,1,1,SENT,SENT_1726,Predicate vocabulary
PNB,replace,hay,tốt,1,1,SENT,SENT_4035,Predicate vocabulary
PNB,replace,hiểu,biết được,1,1,QA,QA_1224,Predicate vocabulary
PNB,replace,hoạng,hoảng,1,1,SENT,SENT_3814,Predicate vocabulary
PNB,replace,hám,ham,1,1,SENT,SENT_3520,Predicate vocabulary
PNB,replace,háo,hóa,1,1,QA,QA_23724,Predicate vocabulary
PNB,replace,hão huyền,viển vông,1,1,MCQA,MCQA_0043_3,Predicate vocabulary
PNB,replace,hên xui,may rủi,1,1,SENT,SENT_4035,Predicate vocabulary
PNB,replace,hút,húc,1,1,SENT,SENT_1222,Predicate vocabulary
PNB,replace,hư,rách,1,1,MCQA,MCQA_0095_1,Predicate vocabulary
PNB,replace,hả,à,1,1,SENT,SENT_5008,Discourse particles
PNB,replace,hết,nữa,1,1,SENT,SENT_1726,Demonstratives/Deixis
PNB,replace,hối hả,vội vã,1,1,MCQA,MCQA_0090_10,Discourse particles
PNB,replace,inh,minh,1,1,MCQA,MCQA_0056_2,Predicate vocabulary
PNB,replace,khi,1h,1,1,NLI,NLI_3739,Noise/Non-linguistic
PNB,replace,khoá,khóa,1,1,SENT,SENT_5315,Noise/Non-linguistic
PNB,replace,khóm,bụi,1,1,MCQA,MCQA_0098_4,Noise/Non-linguistic
PNB,replace,không được,chịu,1,1,SENT,SENT_1146,Noise/Non-linguistic
PNB,replace,kiếm,tìm,1,1,SENT,SENT_4959,Noise/Non-linguistic
PNB,replace,kêu,bảo,1,1,SENT,SENT_1146,Noise/Non-linguistic
PNB,replace,kì,kỳ,1,1,NLI,NLI_4856,Noise/Non-linguistic
PNB,replace,kìm kẹp,khống chế,1,1,MCQA,MCQA_0062_0,Noise/Non-linguistic
PNB,replace,la hoài,chửi mãi,1,1,SENT,SENT_3906,Predicate vocabulary
PNB,replace,liền,ngay,1,1,SENT,SENT_1146,Connectives/Aspect markers
PNB,replace,lui,quay,1,1,MCQA,MCQA_0069_5,Predicate vocabulary
PNB,replace,luyện,liệng,1,1,MCQA,MCQA_0004_3,Orthographic variant
PNB,replace,ly,cốc,1,1,SENT,SENT_5251,Noise/Non-linguistic
PNB,replace,là,rằng,1,1,NLI,NLI_7681,Predicate vocabulary
PNB,replace,lên,đến,1,1,QA,QA_8904,Predicate vocabulary
PNB,replace,lí,lý,1,1,NLI,NLI_2615,Predicate vocabulary
PNB,replace,lại,cản,1,1,NLI,NLI_4654,Connectives/Aspect markers
PNB,replace,mát,lát,1,1,MCQA,MCQA_0138_3,Predicate vocabulary
PNB,replace,móa thiệt chứ tụi,mé thật sự bọn,1,1,SENT,SENT_0343,Pronouns
PNB,replace,mẫu,mảnh,1,1,MCQA,MCQA_0047_4,Predicate vocabulary
PNB,replace,mắc ói,buồn nôn,1,1,SENT,SENT_1579,Predicate vocabulary
PNB,replace,mặc,lại,1,1,MCQA,MCQA_0055_0,Predicate vocabulary
PNB,replace,mặt,mặc,1,1,MCQA,MCQA_0081_4,Predicate vocabulary
PNB,replace,mọc,lên,1,1,MCQA,MCQA_0069_5,Predicate vocabulary
PNB,replace,mọi,tất cả,1,1,NLI,NLI_5735,Demonstratives/Deixis
PNB,replace,mỏi,nhọc,1,1,NLI,NLI_4266,Predicate vocabulary
PNB,replace,mổ,một,1,1,SENT,SENT_4959,Predicate vocabulary
PNB,replace,nghề nghiệp,manh áo của,1,1,SENT,SENT_4003,Predicate vocabulary
PNB,replace,ngoại,vãi,1,1,MCQA,MCQA_0064_1,Kinship/Honorific terms
PNB,replace,ngưng,ngừng,1,1,MCQA,MCQA_0004_3,Predicate vocabulary
