section,item,count,rate
review_agreement,semantic_preservation_yes,1191,72.1%
review_agreement,semantic_preservation_partial,353,21.4%
review_agreement,semantic_preservation_no,108,6.5%
review_agreement,dialect_authenticity_yes,964,58.4%
review_agreement,dialect_authenticity_partial,605,36.6%
review_agreement,dialect_authenticity_no,83,5.0%
review_agreement,guideline_compliance_yes,1259,76.2%
review_agreement,guideline_compliance_partial,368,22.3%
review_agreement,guideline_compliance_no,25,1.5%
dual_review,accepted_after_dual_review,26,40.6%
dual_review,rejected_after_dual_review,5,7.8%
dual_review,pending_adjudication,33,51.6%
