task,target_dialect,n,orig_len_mean,orig_len_median,orig_len_std,para_len_mean,para_len_median,para_len_std,length_ratio_mean,length_ratio_median,length_ratio_std
MCQA,PNB,46,48.608695652173914,48.0,15.518416673058091,48.73913043478261,48.5,15.541249460149874,1.0026960956347124,1.0,0.018691445968723047
MCQA,PNN,46,48.608695652173914,48.0,15.51841667305809,48.17391304347826,48.0,15.748445211196193,0.989403289330793,1.0,0.044240302880172354
MCQA,PNT1,46,48.608695652173914,48.0,15.51841667305809,48.32608695652174,48.0,15.55499826468948,0.9936965611882497,1.0,0.01770940417973606
MCQA,PNT2,46,48.608695652173914,48.0,15.51841667305809,48.56521739130435,48.0,15.587248597510072,0.9987233668036218,1.0,0.01623224985324042
MCQA,PNT3,46,48.608695652173914,48.0,15.51841667305809,48.130434782608695,47.5,15.61140422988866,0.9890913635742887,1.0,0.01755518408930309
MCQA,PNT4,46,48.608695652173914,48.0,15.518416673058091,48.47826086956522,48.0,15.809616103898824,0.9951006227084814,1.0,0.022342018938035075
NLI,PNB,11,18.181818181818183,18.0,5.325752187591567,18.363636363636363,19.0,5.084736517711164,1.0160398147838339,1.0,0.07236321108651399
NLI,PNN,11,18.181818181818183,18.0,5.325752187591567,17.363636363636363,18.0,5.296654175472046,0.958370693946264,1.0,0.08608986708423891
NLI,PNT1,11,18.181818181818183,18.0,5.325752187591567,18.09090909090909,18.0,5.430553295098861,0.993006993006993,1.0,0.023193180352135644
NLI,PNT2,11,18.181818181818183,18.0,5.325752187591567,18.545454545454547,18.0,5.68090901817018,1.0187462463004258,1.0,0.06445661909536841
NLI,PNT3,11,18.181818181818183,18.0,5.325752187591567,18.09090909090909,18.0,4.908249086070214,1.0008635298882977,1.0,0.054407380325171464
NLI,PNT4,11,18.181818181818183,18.0,5.325752187591567,17.818181818181817,17.0,5.306942280036251,0.9807540240976774,1.0,0.035684212539740245
QA,PNB,11,19.545454545454547,21.0,3.387141460395074,19.545454545454547,21.0,3.531674853766591,0.9989814107461167,1.0,0.02390892834037629
QA,PNN,11,19.545454545454547,21.0,3.3871414603950734,19.0,21.0,3.63318042491699,0.9707636331004214,1.0,0.05147427611595427
QA,PNT1,11,19.545454545454547,21.0,3.387141460395074,19.545454545454547,21.0,3.387141460395074,1.0002164502164503,1.0,0.021833594157826878
QA,PNT2,11,19.545454545454547,21.0,3.387141460395074,19.09090909090909,20.0,3.330301651638946,0.9772571395939278,1.0,0.026393526822937326
QA,PNT3,11,19.545454545454547,21.0,3.387141460395074,19.545454545454547,20.0,3.6705213897656654,0.998958626512806,1.0,0.05461117453935824
QA,PNT4,11,19.545454545454547,21.0,3.387141460395074,19.363636363636363,21.0,3.3844564489065974,0.9906998372471517,1.0,0.020974135217392408
SENT,PNB,14,26.071428571428573,20.5,16.582958285375547,25.642857142857142,20.0,16.67613284288077,0.9795673937591233,1.0,0.07473888971444305
SENT,PNN,14,26.071428571428573,20.5,16.582958285375547,24.642857142857142,21.0,14.579264215142857,0.9633529024097838,0.9352226720647774,0.08193072692249531
SENT,PNT1,14,26.071428571428573,20.5,16.582958285375547,24.714285714285715,19.5,14.688711371602404,0.9584496602884964,1.0,0.06422136111870717
SENT,PNT2,14,26.071428571428573,20.5,16.582958285375547,24.785714285714285,19.0,16.839416084470805,0.9427165253293073,0.9528508771929824,0.06529313159456702
SENT,PNT3,14,26.071428571428573,20.5,16.582958285375547,24.642857142857142,19.0,15.775380735901031,0.9495444874674197,0.9542036910457963,0.08337066462722935
SENT,PNT4,14,26.071428571428573,20.5,16.582958285375547,25.142857142857142,19.0,16.445046684018884,0.9640089234074196,0.986842105263158,0.048240084393906264
