target_dialect,task,n_spans,n_samples,avg_spans_per_sample
PNB,MCQA,58,38,1.5263157894736843
PNB,NLI,26,19,1.368421052631579
PNB,QA,22,18,1.2222222222222223
PNB,SENT,63,39,1.6153846153846154
PNN,MCQA,431,87,4.954022988505747
PNN,NLI,141,77,1.8311688311688312
PNN,QA,148,75,1.9733333333333334
PNN,SENT,294,93,3.161290322580645
PNT1,MCQA,189,88,2.147727272727273
PNT1,NLI,60,46,1.3043478260869565
PNT1,QA,52,48,1.0833333333333333
PNT1,SENT,136,74,1.837837837837838
PNT2,MCQA,259,92,2.8152173913043477
PNT2,NLI,121,72,1.6805555555555556
PNT2,QA,145,93,1.5591397849462365
PNT2,SENT,328,97,3.381443298969072
PNT3,MCQA,365,98,3.7244897959183674
PNT3,NLI,176,84,2.0952380952380953
PNT3,QA,185,95,1.9473684210526316
PNT3,SENT,464,100,4.64
PNT4,MCQA,284,91,3.120879120879121
PNT4,NLI,91,56,1.625
PNT4,QA,131,86,1.5232558139534884
PNT4,SENT,311,94,3.3085106382978724
