sample_id,task,target_dialect,opcode,opcode_seq,standard_span,dialect_span,standard_span_len,dialect_span_len,is_known,match_direction,category,lexicon_standard_word,lexicon_region_column
MCQA_0013_3,MCQA,PNN,replace,0,giúp mẹ,phụ má,2,2,False,none,Multi-word idiom,,
MCQA_0013_3,MCQA,PNN,replace,1,việc,chuyện,1,1,False,none,Predicate vocabulary,,
MCQA_0013_3,MCQA,PNN,replace,2,mẹ,má,1,1,False,none,Kinship/Honorific terms,,
MCQA_0013_3,MCQA,PNN,replace,3,bố,ba,1,1,False,none,Kinship/Honorific terms,,
MCQA_0013_3,MCQA,PNN,replace,4,và,với,1,1,False,none,Connectives/Aspect markers,,
MCQA_0013_3,MCQA,PNT2,replace,0,đã,đạ,1,1,True,dialect_phrase,Connectives/Aspect markers,đã,HaTinh_QB_QT
MCQA_0013_3,MCQA,PNT2,replace,1,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,HaTinh_QB_QT; NgheAn
MCQA_0013_3,MCQA,PNT2,replace,2,làm,mần,1,1,True,dialect_phrase,Predicate vocabulary,làm,HaTinh_QB_QT
MCQA_0013_3,MCQA,PNT3,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì; sao / thế nào,HaTinh_QB_QT; Hue
MCQA_0013_3,MCQA,PNT3,replace,1,và,với,1,1,False,none,Connectives/Aspect markers,,
MCQA_0013_3,MCQA,PNT3,replace,2,bố,ba,1,1,True,standard_word,Kinship/Honorific terms,bọ; ôn,HaTinh_QB_QT; Hue
MCQA_0013_3,MCQA,PNT3,replace,3,và,với,1,1,False,none,Connectives/Aspect markers,,
MCQA_0013_4,MCQA,PNB,replace,0,thời điểm,lúc,2,1,False,none,Connectives/Aspect markers,,
MCQA_0013_4,MCQA,PNB,insert,1,,còn,0,1,False,none,Unknown,,
MCQA_0013_4,MCQA,PNB,insert,2,,thì,0,1,False,none,Unknown,,
MCQA_0013_4,MCQA,PNN,replace,0,bố,ba,1,1,False,none,Kinship/Honorific terms,,
MCQA_0013_4,MCQA,PNN,replace,1,mẹ,má,1,1,False,none,Kinship/Honorific terms,,
MCQA_0013_4,MCQA,PNN,replace,2,làm,mần,1,1,True,standard_word,Predicate vocabulary,làm,NamBo
MCQA_0013_4,MCQA,PNN,replace,3,mẹ,má,1,1,False,none,Kinship/Honorific terms,,
MCQA_0013_4,MCQA,PNT1,replace,0,về,viền,1,1,True,dialect_phrase,Predicate vocabulary,về,ThanhHoa
MCQA_0013_4,MCQA,PNT2,replace,0,vào,vô,1,1,False,none,Connectives/Aspect markers,,
MCQA_0013_4,MCQA,PNT2,replace,1,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn
MCQA_0013_4,MCQA,PNT2,replace,2,đã,đạ,1,1,True,dialect_phrase,Connectives/Aspect markers,đã,HaTinh_QB_QT
MCQA_0013_4,MCQA,PNT2,replace,3,làm,mần,1,1,True,dialect_phrase,Predicate vocabulary,làm,HaTinh_QB_QT
MCQA_0013_4,MCQA,PNT2,replace,4,đã,dạ,1,1,True,standard_word,Connectives/Aspect markers,đạ,HaTinh_QB_QT
