standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
tại,ở,4,True,QA,QA_14184; QA_22620; QA_4887; QA_8137,PNB,Predicate vocabulary,
z,vậy,3,False,SENT,SENT_3427,PNB,Orthographic variant,
bạn,cô,3,False,MCQA,MCQA_0056_1,PNB,Kinship/Honorific terms,
miền,vùng,3,False,MCQA,MCQA_0062_2,PNB,Predicate vocabulary,
mẩu,mảnh,3,False,MCQA,MCQA_0047_2; MCQA_0047_4,PNB,Predicate vocabulary,
trải,rải,2,False,QA,QA_14728,PNB,Predicate vocabulary,
ta,mình,2,True,"MCQA, SENT",MCQA_0042_2; SENT_3555,PNB,Pronouns,
nữa,nửa,2,True,QA,QA_19280; QA_3410,PNB,Orthographic variant,
dí,đuổi,2,False,SENT,SENT_5407,PNB,Predicate vocabulary,
heo,lợn,2,True,SENT,SENT_4035,PNB,Predicate vocabulary,
thẹo,sẹo,2,True,SENT,SENT_1146,PNB,Orthographic variant,
tới,đến,2,False,SENT,SENT_1161,PNB,Predicate vocabulary,
thân,nạn,1,False,MCQA,MCQA_0055_1,PNB,Noise/Non-linguistic,
thấy mẹ hà,thế không biết,1,False,SENT,SENT_2148,PNB,Idiomatic expressions,
thắng,thắn,1,False,NLI,NLI_2313,PNB,Noise/Non-linguistic,
thằg,thằng,1,False,SENT,SENT_3520,PNB,Orthographic variant,
thời điểm,lúc,1,False,MCQA,MCQA_0013_4,PNB,Connectives/Aspect markers,
thời,tuổi,1,False,MCQA,MCQA_0020_1,PNB,Predicate vocabulary,
thành công,được,1,False,NLI,NLI_5263,PNB,Predicate vocabulary,
thục,thạo,1,True,NLI,NLI_0028,PNB,Predicate vocabulary,
thủ,thử,1,True,QA,QA_23452,PNB,Orthographic variant,
tin chuẩn,chính xác,1,False,NLI,NLI_0647,PNB,Idiomatic expressions,
trrong,trong,1,False,QA,QA_10410,PNB,Noise/Non-linguistic,
truang,trung,1,True,QA,QA_23724,PNB,Orthographic variant,
trách,cười,1,False,MCQA,MCQA_0041_5,PNB,Predicate vocabulary,
trả,mượn,1,False,NLI,NLI_4801,PNB,Predicate vocabulary,
tháng,thắng,1,True,NLI,NLI_7681,PNB,Noise/Non-linguistic,
""" nghìn mét ""","""nghìn mét""",1,False,SENT,SENT_1222,PNB,Noise/Non-linguistic,
thi,thu,1,False,SENT,SENT_1894,PNB,Noise/Non-linguistic,
ra,đi,1,False,SENT,SENT_4964,PNB,Predicate vocabulary,
nặn,nạn,1,True,SENT,SENT_4964,PNB,Orthographic variant,
phì,béo,1,False,SENT,SENT_5251,PNB,Predicate vocabulary,
phúc đáp,phản hồi,1,False,MCQA,MCQA_0065_5,PNB,Idiomatic expressions,
phục,phúc,1,True,NLI,NLI_0521,PNB,Orthographic variant,
quân,quay,1,False,QA,QA_11800,PNB,Noise/Non-linguistic,
quơ,thì vơ,1,False,SENT,SENT_3249,PNB,Noise/Non-linguistic,
quơ,vơ,1,False,SENT,SENT_3249,PNB,Orthographic variant,
quốc-cộng,quốc - cộng,1,False,QA,QA_19358,PNB,Orthographic variant,
réo rắt,véo von,1,False,MCQA,MCQA_0060_1,PNB,Idiomatic expressions,
"ta ""","mình""",1,False,SENT,SENT_3555,PNB,Pronouns,
rược,đuổi theo,1,False,SENT,SENT_2938,PNB,Predicate vocabulary,
rễ,rể,1,False,NLI,NLI_1639,PNB,Orthographic variant,
rứa,thế,1,False,SENT,SENT_0572,PNB,Demonstratives/Deixis,
sau,từ,1,False,NLI,NLI_2354,PNB,Connectives/Aspect markers,
siêng năng,chăm chỉ,1,False,MCQA,MCQA_0041_7,PNB,Idiomatic expressions,
soán,soát,1,True,NLI,NLI_4572,PNB,Orthographic variant,
sầm sì,âm u,1,False,MCQA,MCQA_0069_1,PNB,Idiomatic expressions,
trả lời,giải đáp,1,False,NLI,NLI_6637,PNB,Idiomatic expressions,
sự,tính,1,False,NLI,NLI_5143,PNB,Predicate vocabulary,
tuyết,tuyệt,1,True,NLI,NLI_0337,PNB,Noise/Non-linguistic,
trịu,trụi,1,True,MCQA,MCQA_0002_4,PNB,Orthographic variant,
với thằg,thằng,1,False,SENT,SENT_3520,PNB,Noise/Non-linguistic,
xuể,hết,1,False,MCQA,MCQA_0010_1,PNB,Predicate vocabulary,
xvii-xx thì,xvii - xx,1,False,QA,QA_7442,PNB,Out-of-scope,
xơi,ăn,1,True,SENT,SENT_1192,PNB,Predicate vocabulary,
xưa,kìa,1,False,MCQA,MCQA_0051_0,PNB,Demonstratives/Deixis,
đame,dame,1,False,SENT,SENT_1410,PNB,Noise/Non-linguistic,
đem,mang,1,False,SENT,SENT_2727,PNB,Predicate vocabulary,
đàn,các,1,False,MCQA,MCQA_0081_4,PNB,Negation/Function words,
đám,mảnh,1,False,MCQA,MCQA_0043_3,PNB,Predicate vocabulary,
đã,từng,1,False,QA,QA_6664,PNB,Connectives/Aspect markers,
