standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
vào,vô,58,True,"MCQA, NLI, QA, SENT",MCQA_0013_4; MCQA_0016_0; MCQA_0041_5; MCQA_0047_2; MCQA_0074_5,PNT2,Connectives/Aspect markers,
như thế nào,a răng,29,True,"MCQA, QA",MCQA_0018_4; MCQA_0018_6; MCQA_0025_9; MCQA_0036_5; MCQA_0042_7,PNT2,Interrogatives,
đã làm gì,đạ mần chi,11,True,"MCQA, QA",MCQA_0004_3; MCQA_0037_2; MCQA_0043_3; MCQA_0048_5; MCQA_0055_0,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
bảo,kêu,7,False,MCQA,MCQA_0030_1; MCQA_0074_5,PNT2,Predicate vocabulary,
gái,gấy,6,False,"MCQA, NLI, SENT",MCQA_0056_1; NLI_6350; SENT_5441,PNT2,Orthographic variant,
các,mấy,6,True,"MCQA, NLI, QA",MCQA_0018_6; NLI_0157; NLI_1921; NLI_3951; QA_17995,PNT2,Negation/Function words,
vì,tại,6,True,MCQA,MCQA_0010_1; MCQA_0012_5; MCQA_0016_0,PNT2,Connectives/Aspect markers,
người,ngài,6,False,"MCQA, NLI, QA, SENT",MCQA_0010_1; NLI_6169; QA_9637; SENT_0237; SENT_3763,PNT2,Orthographic variant,
nước,nác,6,True,MCQA,MCQA_0096_0,PNT2,Orthographic variant,
như thế nào,ơ răng,5,False,"MCQA, QA",MCQA_0116_5; QA_15710; QA_19329; QA_26901; QA_6664,PNT2,Interrogatives,
chúng,nhà,5,False,"MCQA, NLI",MCQA_0065_5; MCQA_0148_3; NLI_2313,PNT2,Pronouns,
như thế nào,ra răng,5,True,"NLI, QA",NLI_0729; QA_12099; QA_15627; QA_20495; QA_22836,PNT2,Interrogatives,
ngày,ngay,4,True,MCQA,MCQA_0012_0; MCQA_0077_0,PNT2,Noise/Non-linguistic,
tại,lộ,4,False,"NLI, QA",NLI_5263; QA_22617; QA_23978; QA_4887,PNT2,Noise/Non-linguistic,
cái này,cấy ni,3,True,SENT,SENT_1771; SENT_4790; SENT_5531,PNT2,Demonstratives/Deixis,
mình,chắc,3,True,MCQA,MCQA_0042_2; MCQA_0077_0,PNT2,Noise/Non-linguistic,
như thế nào,à răng,3,False,"MCQA, QA",MCQA_0065_2; MCQA_0148_3; QA_27033,PNT2,Interrogatives,
gì đã,chi đạ,3,True,MCQA,MCQA_0020_1; MCQA_0030_3; MCQA_0138_5,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
vì cậu,tại lạo,3,False,MCQA,MCQA_0077_0,PNT2,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
ruộng,rọng,3,False,MCQA,MCQA_0096_0,PNT2,Orthographic variant,
rằng,là,2,True,"MCQA, NLI",MCQA_0100_1; NLI_1921,PNT2,Connectives/Aspect markers,
heo,lợn,2,True,SENT,SENT_4035,PNT2,Predicate vocabulary,
nữa,nửa,2,True,QA,QA_19280; QA_3410,PNT2,Orthographic variant,
giờ,dừ,2,False,SENT,SENT_3023; SENT_4035,PNT2,Demonstratives/Deixis,
và,với,2,True,"NLI, QA",NLI_0064; QA_26719,PNT2,Connectives/Aspect markers,
trâu,tru,2,True,MCQA,MCQA_0020_1; MCQA_0087_0,PNT2,Orthographic variant,
cùng,với,2,True,"MCQA, SENT",MCQA_0077_0; SENT_0958,PNT2,Connectives/Aspect markers,
giữa,trửa,2,False,MCQA,MCQA_0123_0; MCQA_0151_3,PNT2,Orthographic variant,
cô,con,2,True,"MCQA, NLI",MCQA_0056_2; NLI_7901,PNT2,Kinship/Honorific terms,
tao không,tau nỏ,2,True,SENT,SENT_1410; SENT_3763,PNT2,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
những,nhửng,2,True,"MCQA, NLI",MCQA_0137_3; NLI_0448,PNT2,Orthographic variant,
nhau,chắc,2,False,MCQA,MCQA_0123_0,PNT2,Noise/Non-linguistic,
nào làm,mô mần,2,True,NLI,NLI_3269; NLI_6155,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
đã không,đạ nỏ,2,False,"MCQA, QA",MCQA_0123_0; QA_6673,PNT2,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
những,mấy cấy,2,False,"MCQA, NLI",MCQA_0002_4; NLI_2899,PNT2,Negation/Function words,
thẹo,sẹo,2,True,SENT,SENT_1146,PNT2,Orthographic variant,
sẽ,có lẹ,1,False,SENT,SENT_0192,PNT2,Connectives/Aspect markers,
qua,vừa rồi,1,False,NLI,NLI_0157,PNT2,Connectives/Aspect markers,
số lượng lớn,vơ trời,1,False,NLI,NLI_3719,PNT2,Idiomatic expressions,
quát,nạt,1,False,SENT,SENT_5441,PNT2,Predicate vocabulary,
sâu,su,1,False,MCQA,MCQA_0096_0,PNT2,Orthographic variant,
ruột,rọt,1,True,NLI,NLI_2198,PNT2,Orthographic variant,
sau đó bị,quá mấy nữa,1,False,SENT,SENT_0958,PNT2,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
sao ấy,răng rứa,1,False,SENT,SENT_1971,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
sao nó không,răng hấn nỏ,1,False,SENT,SENT_2816,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
ruộng,rộng,1,False,MCQA,MCQA_0096_0,PNT2,Orthographic variant,
sao không,răng nỏ,1,True,MCQA,MCQA_0037_4,PNT2,Interrogatives,
sao này,sau ni,1,True,SENT,SENT_4160,PNT2,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
"""người đâu","""ngài mô",1,False,MCQA,MCQA_0041_7,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
phục,phúc,1,True,NLI,NLI_0521,PNT2,Orthographic variant,
này đâu,ni cả,1,False,SENT,SENT_3243,PNT2,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
nào tao,mô tau,1,False,SENT,SENT_1579,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
nào vào,mô vô,1,False,QA,QA_22617,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
này +,ni với,1,False,SENT,SENT_5421,PNT2,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
này không,ni nỏ,1,False,NLI,NLI_3048,PNT2,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
này như thế nào,ni a răng,1,False,MCQA,MCQA_0041_5,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
này sợ thật đấy,hết cả hồn,1,False,SENT,SENT_1093,PNT2,Idiomatic expressions,
này tao thấy mày,ni tau chộ mi,1,False,SENT,SENT_4737,PNT2,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
này tuyết,ni tuyệt,1,True,NLI,NLI_0337,PNT2,Noise/Non-linguistic,
này vào,ni vô,1,True,SENT,SENT_4519,PNT2,Demonstratives/Deixis,[reclassified from Multi-word idiom -> Demonstratives/Deixis]
nên người ta mới gọi nó,bơ họ mì kêu hắn,1,False,NLI,NLI_5704,PNT2,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
or không,hoặc nỏ,1,False,SENT,SENT_0237,PNT2,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
nó không,hấn nỏ,1,False,SENT,SENT_4745,PNT2,Negation/Function words,[reclassified from Multi-word idiom -> Negation/Function words]
nó làm gì,hấn mần chi,1,False,MCQA,MCQA_0151_1,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
nó vào,hấn vô,1,False,SENT,SENT_5360,PNT2,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
nó đỗ,hấn đậu,1,False,SENT,SENT_1546,PNT2,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
nũa,nữa,1,True,SENT,SENT_3273,PNT2,Orthographic variant,
nơi như thế nào,chỗ a răng,1,False,QA,QA_23978,PNT2,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
tao tao,tau tau,1,True,SENT,SENT_5315,PNT2,Pronouns,
nữa,nựa,1,True,MCQA,MCQA_0004_3,PNT2,Orthographic variant,
nữa chứ,nựa chơ,1,False,SENT,SENT_3750,PNT2,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
