model_slug,model,task,id,failed_dialects,dialect_rows,failure_rate,failed_variant_list,standard_text,PNB_text,PNN_text,PNT1_text,PNT2_text,PNT3_text,PNT4_text
gemma_3_4b_it,Gemma 3 4B,SENT,SENT_3910,6,6,1.0,"PNB, PNN, PNT1, PNT2, PNT3, PNT4",text: t xem phim này cứ thích bà ma nhập vào thôi chứ bình thường yếu đúi nhạt tao không thích,text: t xem phim này cứ thích bà ma nhập vào thôi chứ bình thường yếu đuối nhạt tao không thích,text: t coi phim này cứ thích bà ma nhập vào thôi chứ bình thường yếu đúi nhạt tao hông thích,text: t xem phim này cứ thích bà ma nhập vào thôi chứ bình thường yếu đúi nhạt tau không thích,text: t xem phim ni cứ thích bà ma nhập vô thôi chơ bình thường yếu đúi nhạt tao nỏ thích,text: tau xem phim ni cứ thích bà ma nhập vô thôi chơ bình thường yếu đuối nhạt tau không thích,text: t xem phim ni cứ thích bà ma nhập vô thôi chớ bình thường yếu đúi nhạt ta không thích
qwen_2_5_3b_instruct,Qwen2.5 3B,QA,QA_24045,6,6,1.0,"PNB, PNN, PNT1, PNT2, PNT3, PNT4","context: Tuy là thủ đô, trung tâm văn hóa của Việt Nam, nhưng một số sự kiện văn hóa tổ chức ở Hà Nội gần đây đã xảy ra nhiều sự việc đáng chú ý, điển hình là vụ tàn phá hoa của người Hà Nội tại Lễ hội hoa anh đào diễn ra giữa thủ đô năm 2008, hay những hành động thiếu ý thức, kém văn minh và đáng xấu hổ tại Lễ hội phố hoa Hà Nội vào Tết Dương lịch 2009 tổ chức tại hồ Hoàn Kiếm. Nhà văn Băng Sơn phát biểu: ""Tôi cảm thấy buồn và xấu hổ. Người Hà Nội làm xấu Hà Nội đi. Bao nhiêu năm hội hoa ở Đà Lạt, ở TP HCM mà không phải làm hàng rào vẫn giữ được cho đến ngày cuối cùng"". Những vụ việc trên đã dấy lên làn sóng phản đối mạnh mẽ từ dư luận cả nước trên các phương tiện thông tin đại chúng, đặt câu hỏi lớn về ""văn hóa người Tràng An"" trong thời đại ngày nay. Có nhiều ý kiến nhận xét lối cư xử nhã nhặn, thanh lịch của người Hà Nội đang mất dần, thay vào đó là cách cư xử thiếu văn hóa nhất là ở giới trẻ Hà Nội. Hà Nội còn có ""bún mắng, cháo chửi"" ngày càng trở nên phổ biến đã bị nhiều báo phản ánh và phê phán tuy nhiên các quán ăn có phong cách phục vụ vô văn hóa, thô lỗ, xem thường, xúc phạm khách hàng này vẫn thu hút được nhiều người đến ăn. Sau sự kiện ""bún chửi"" Hà Nội lên sóng CNN trong mục ""món ăn đặc sắc"" tháng 9/2016 thì giới chức Hà Nội ""tuyên chiến với nói tục, chửi bậy"". || question: Theo nhiều ý kiến thì Hà Nội đang dàn đánh mất điều gì để thay vào đó là sự thiếu văn hóa?",question: Theo nhiều ý kiến thì Hà Nội đang dần đánh mất điều gì để thay vào đó là sự thiếu văn hóa?,question: Theo nhiều ý kiến thì Hà Nội đang từ từ đánh mất cái gì để thay vô đó là sự thiếu văn hóa?,question: Theo nhiều ý kiến thì Hà Nội đang dần đánh mất điều gì để thay vào đó là sự thiếu văn hóa?,question: Theo nhiều ý kiến thì Hà Nội đang dần đánh mất điều chi để thay vô đó là sự thiếu văn hóa?,question: Theo nhiều ý kiến thì Hà Nội đang dần đánh mất điều chi để thay vô đó là sự thiếu văn hóa?,question: Theo nhiều ý kiến thì Hà Nội đang lần lần đánh mất điều chi để thay vô đó là sự thiếu văn hóa?
gemma_2_9b_it,Gemma 2 9B,QA,QA_18828,6,6,1.0,"PNB, PNN, PNT1, PNT2, PNT3, PNT4","context: Đầu thời Minh, do chiến tranh kéo dài trong nhiều năm cộng thêm lạm phát, hơn nữa Nguyên Huệ Tông trước đây cho tăng cường lao dịch để trị thủy, khiến kinh tế quốc gia tiến đến bờ sụp đổ. Minh Thái Tổ thực thi hành chính sách nghỉ ngơi lại sức và di dân khai hoang, còn thi hành chính sách đồn điền, diện tích quân điền chiếm gần một phần mười đất canh tác toàn quốc. Ngoài ra, thương đồn cũng tương đối phổ biến, chính phủ dùng giấy độc quyền buôn bán muối (gọi là diêm dẫn) để trao đổi, thu hút thương nhân đem lương thực đến biên cương nhằm đảm bảo nhu cầu lương thực biên phòng. Đây không phải là phương thức lấy hàng đổi hàng, mà là yêu cầu diêm thương giao tiền trước rồi đợi đến khi muối khô mới được cấp muối. Tuy nhiên, do thuế thu không đủ nên họ đưa muối mới sản xuất ra ngoài bán riêng, kéo dài thời gian giao muối cho diêm thương chính quy, khiến cho diêm thương giao xong tiền phải mất 3-5 năm, thậm chí là mười năm sau mới lấy được muối, song lại không thể bỏ thân phận diêm thương làm việc khác mưu sinh nên nhà tan người mất, buôn lậu muối cũng diễn ra trên quy mô lớn. Minh Thái Tổ từng phái Quốc tử giám xuống thôn quê chỉ đạo xây dựng thủy lợi, đồng thời dùng miễn giảm thu thuế để khuyến khích canh tác. Các biện pháp này khiến các khu vực từng chịu tổn thất nặng nề trong chiến loạn khôi phục sinh khí, khiến kinh tế triều Minh được khôi phục nhanh chóng. || question: Những khu vực mà chịu thiệt hại từ chiến tranh nhờ vào các chính sách nhà Minh mà đã có kết quả như thế nào?",question: Những khu vực chịu thiệt hại từ chiến tranh nhờ vào các chính sách của nhà Minh đã có kết quả như thế nào?,question: Mấy vùng mà bị thiệt hại do chiến tranh nhờ vô các chính sách nhà Minh mà đã có kết quả ra sao?,question: Những khu vực mà chịu thiệt hại từ chiến tranh nhờ vào các chính sách nhà Minh mà đả có kết quả như răng?,question: Những khu vực mà chịu thiệt hại từ chiến tranh nhờ vô các chính sách nhà Minh mà đã có kết quả như răng?,question: Những khu vực mà chịu thiệt hại từ chiến tranh do các chính sách nhà Minh mà đã có kết quả như răng?,question: Những khu vực mà chịu thiệt hại từ chiến tranh nhờ vô mấy chính sách nhà Minh mà đã có kết quả ra ren?
vistral_7b_chat,Vistral 7B,QA,QA_19358,6,6,1.0,"PNB, PNN, PNT1, PNT2, PNT3, PNT4","context: Thời kỳ đầu Dân Quốc (1913-1927), Bắc Dương tân quân do Viên Thế Khải sáng lập là lực lượng chủ yếu của Lục quân Trung Hoa Dân Quốc, tướng lĩnh chủ yếu của lực lượng này hùng bá một phương, tại các địa phương tiến hành cát cứ quân phiệt, phân chia phạm vi thế lực. Đến năm 1924, Trung Quốc Quốc Dân đảng học tập mô hình chế độ quân sự của Đảng Cộng sản Liên Xô để lập ra Quốc dân Cách mạng quân, là lực lượng vũ trang quốc gia từ sau Bắc phạt đến khi thi hành hiến pháp, cũng là tiền thân của Quốc quân Trung Hoa Dân quốc. Đồng thời, Đảng Cộng sản Trung Quốc cũng phát triển thế lực vũ trang lãnh đạo thời kỳ đầu của họ trong Quốc Dân Cách mạng quân. Tháng 4 năm 1928, lực lượng tiến hành Khởi nghĩa Nam Xương do Chu Đức lãnh đạo và lực lượng tiến hành Khởi nghĩa Thu Thu do Mao Trạch Đông lãnh đạo hội quân tại Tỉnh Cương Sơn, hình thành Quân đoàn số 4 Quân Cách mạng công nông Trung Quốc. Quân Cách mạng công nông Trung Quốc sau đổi sang gọi là Hồng quân, Hồng quân Công Nông Trung Quốc. Sau khi Chiến tranh kháng Nhật bùng phát, Hồng quân công nông Trung Quốc được cải biên thành Bát lộ quân và Tân tứ quân, trên danh nghĩa là lực lượng thuộc Quốc dân Cách mạng quân. Sau khi đại chién kết thúc, do Quốc-Cộng hợp tác tan vỡ nên đổi sang gọi là Quân Giải phóng Nhân dân Trung Quốc. || question: Quân Cách mạng công nông Trung Quốc sau khi Quốc-Cộng không hợp tác nữa thì được gọi là gì?",question: Quân Cách mạng Công nông Trung Quốc sau khi Quốc - Cộng không còn hợp tác nữa thì được gọi là gì?,question: Quân Cách mạng công nông Trung Quốc sau khi Quốc-Cộng hông hợp tác nữa thì được gọi là gì?,question: Quân Cách mạng công nông Trung Quốc sau khi Quốc-Cộng không hợp tác nữa thì được gọi là chi?,question: Quân Cách mạng công nông Trung Quốc sau khi Quốc-Cộng nỏ hợp tác nữa thì được gọi là chi?,question: Quân Cách mạng công nông Trung Quốc sau khi Quốc-Cộng không hợp tác nữa thì được gọi là chi?,question: Quân Cách mạng công nông Trung Quốc sau khi Quốc-Cộng không hợp tác nữa thì được gọi là chi?
gpt_4o,GPT-4o,SENT,SENT_4861,6,6,1.0,"PNB, PNN, PNT1, PNT2, PNT3, PNT4",text: ai cũng từng bị bố mẹ chửi mắng . em ấy cũng vậy . là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được . chả bằng được cái đứa con nít còn tỏ vẻ ta đây,text: ai cũng từng bị bố mẹ chửi mắng . em ấy cũng vậy . là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được . chả bằng được cái đứa con nít còn tỏ vẻ ta đây,text: ai cũng từng bị ba mẹ chửi mắng . ẻm cũng vậy . là người lớn tụi mình lắng nghe và chia sẻ . nhiều người già rồi mà nói năng xấc xược láo toét mất dạy hông thể chấp nhận được . chả bằng được cái đứa con nít còn ra vẻ ta đây,text: ai cũng từng bị bố mẹ chửi bới . em nứ cũng rứa . là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy không thể chấp nhận được . chả bằng được cái đứa con nít còn tỏ vẻ ta đây,text: ai cũng từng bị bố mẹ chửi mắng . em ấy cũng như rứa. là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn xấc xược láo toét mất dạy nỏ thể chấp nhận nổi . nỏ bằng được mấy đứa con nít còn tỏ vẻ ta đây,text: ai cụng từng bị bọ mạ chưởi . em nớ cũng rứa . là người lớn choa lắng nghe và chia sẻ . nhiều người tra rồi mà phát ngôn xấc xược láo toét mất dạy nỏ chấp nhận được . nỏ bằng được kì đứa con nít còn tỏ vẻ ta đây,text: ai cũng từng bị ba mẹ chửi mắng . em nớ cũng rứa . là người lớn chúng ta lắng nghe và chia sẻ . nhiều người già rồi mà phát ngôn hỗn hào bố láo mất dạy không thể chấp nhận được . không bằng được cái đứa con nít còn ra vẻ ta đây
gemma_3_4b_it,Gemma 3 4B,NLI,NLI_2559,5,6,0.8333333333333334,"PNN, PNT1, PNT2, PNT3, PNT4","premise: Sứ mệnh sao Hỏa của Trung Quốc có thể không hấp dẫn bằng nhiệm vụ mới nhất mà NASA thực hiện, bởi nó về cơ bản chỉ lặp lại những kỳ tích mà người Mỹ đã đạt được từ nhiều thập kỷ trước. || hypothesis: Sứ mệnh sao Hỏa của Trung Quốc không còn gì là mới mẻ với NASA.",hypothesis: Sứ mệnh sao Hỏa của Trung Quốc không còn gì là mới mẻ với NASA.,hypothesis: Sứ mệnh sao Hỏa của Trung Quốc hổng còn gì là mới mẻ với NASA.,hypothesis: Sứ mệnh sao Hoã của Trung Quốc chả còn chi là mới mẻ với NASA.,hypothesis: Sứ mệnh sao Hỏa của Trung Quốc nỏ còn chi là mới mẻ với NASA.,hypothesis: Sứ mệnh sao Hỏa của Trung Quốc nỏ còn chi là mới mẻ với NASA.,hypothesis: Sứ mệnh sao Hỏa của Trung Quốc không còn chi là mới mẻ với NASA.
llama_3_1_8b_instruct,Llama 3.1 8B,MCQA,MCQA_0041_5,5,6,0.8333333333333334,"PNN, PNT1, PNT2, PNT3, PNT4","context: Xưa có một anh chàng mồ côi cha mẹ nhưng chẳng chịu học hành, làm lụng gì cả. Hằng ngày, anh ta cứ nằm ngửa dưới gốc cây sung, há miệng ra thật to, chờ cho sung rụng vào thì ăn. Nhưng đợi mãi mà chẳng có quả sung nào rụng trúng miệng. Bao nhiêu quả rụng đều rơi chệch ra ngoài.

Chợt có người đi qua đường, chàng lười gọi lại, nhờ nhặt sung bỏ hộ vào miệng. Không may, gặp phải một tay cũng lười. Hắn ta lấy hai ngón chân cặp quả sung, bỏ vào miệng cho chàng lười. Anh chàng bực lắm, gắt:

- Ôi chao! Người đâu mà lười thế! || question: Người qua đường đã giúp chàng trai lười biếng này như thế nào? || options: Dùng chân cặp quả sung bỏ vào miệng cho chàng lười. | Dùng tay nhặt quả sung bỏ vào miệng cho chàng lười. | Rung cây cho quả sung rơi trúng miệng anh chàng lười. | Chê trách anh chàng lười rồi bỏ đi.",question: Người qua đường đã giúp chàng trai lười biếng này như thế nào? || options: Dùng chân gắp quả sung bỏ vào miệng cho chàng lười. | Dùng tay nhặt quả sung bỏ vào miệng cho chàng lười. | Rung cây cho quả sung rơi trúng miệng anh chàng lười. | Chê cười anh chàng lười rồi bỏ đi.,question: Người qua đường đã giúp chàng trai làm biếng này thế nào? || options: Dùng chân cặp trái sung bỏ vào miệng cho chàng lười. | Dùng tay luợm trái sung bỏ vào miệng cho chàng lười. | Rung cây cho trái sung rơi trúng miệng anh chàng lười. | Quở anh chàng lười rồi bỏ đi.,question: Người qua đường đã giúp chàng trai lừi bíng này răng? || options: Dùng chân cặp quả sung bỏa vô miệng cho chàng lười. | Dùng tay nhặt quả sung bỏ vô miệng cho chàng lười. | Rung cây cho quả sung rơi trúng miệng anh chàng lười. | Chê trách anh chàng lười rồi bỏ đi.,question: Người qua đường đạ giúp cái chàng trai lười biếng ni a răng? || options: Dùng chân cặp quả sung bỏ vô miệng cho chàng lười. | Dùng tay nhặt quả sung bỏ vô miệng cho chàng lười. | Rung cây cho quả sung rơi trúng miệng anh chàng lười. | Chê trách anh chàng lười rồi bỏ đi.,question: Người qua đường đã giúp chàng trai lười biếng ni như răng? || options: Dùng chân cặp quả sung bỏ vô miệng cho chàng lười. | Dùng tay nhặt quả sung bỏ vô miệng cho chàng lười. | Rung cây cho quả sung rơi trúng miệng anh chàng lười. | Chê trách anh chàng lười rồi bỏ đi.,question: Người qua đường đã giúp chàng trai lười biếng ni ra ren? || options: Lấy chân gắp quả sung bỏ vào miệng cho chàng lười. | Lấy tay nhặt quả sung bỏ vào miệng cho chàng lười. | Rung cây cho quả sung rơi trúng miệng anh chàng lười. | Chê trách anh chàng lười rồi bỏ đi.
seallm_7b_chat,SeaLLM 7B,NLI,NLI_2899,5,6,0.8333333333333334,"PNN, PNT1, PNT2, PNT3, PNT4","premise: Khi nhìn những bức ảnh, nước mắt mẹ tôi lăn dài trên má. || hypothesis: Mẹ đã không kìm nén được khi xem những bức ảnh.",hypothesis: Mẹ đã không kìm nén được khi xem những bức ảnh.,hypothesis: Mã đã hông kìm nén được lúc coi mấy bức ảnh.,hypothesis: Mẹ đã không kìm nén được khi coi những bức ảnh.,hypothesis: Mẹ đạ không kìm nén được khi xem mấy cấy bức ảnh.,hypothesis: Mạ đã nỏ kìm nén được khi coi mấy bức ảnh.,hypothesis: Mẹ đã không kìm nén được khi xem những bức hình.
seallm_7b_chat,SeaLLM 7B,NLI,NLI_5263,5,6,0.8333333333333334,"PNB, PNN, PNT2, PNT3, PNT4","premise: Cô bị bắt vào ngày 7/4 tại thành phố Liên Vân Cảng gần đó, sau nỗ lực chung của phòng tư pháp địa phương, cảnh sát và các công tố viên. || hypothesis: Phòng tư pháp địa phương đã cử cảnh sát và các công tố viên truy bắt cô tại thành phố Liên Vân Cảng nhưng không thành công.",hypothesis: Phòng tư pháp địa phương đã cử cảnh sát và các công tố viên truy bắt cô tại thành phố Liên Vân Cảng nhưng không được.,hypothesis: Phòng tư pháp địa phương đã cử cảnh sát với mấy công tố viên truy bắt cô ở thành phố Liên Vân Cảng nhưng hông thành công.,hypothesis: Phòng tư pháp địa phương đã cử cảnh sát và các công tố viên truy bắt cô tại thành phố Liên Vân Cảng nhưng không thành công.,hypothesis: Phòng tư pháp địa phương đã cử cảnh sát và các công tố viên truy bắt cô lộ thành phố Liên Vân Cảng nhưng nỏ thành công.,hypothesis: Phòng tư pháp địa phương đạ cử cảnh sát và các công tố viên truy bắt ả tại thành phố Liên Vân Cảng mà nỏ thành công.,hypothesis: Phòng tư pháp địa phương đã cử cảnh sát với mấy công tố viên truy bắt cổ ở thành phố Liên Vân Cảng nhưng hông được.
qwen_2_5_0_5b_instruct,Qwen2.5 0.5B,MCQA,MCQA_0037_4,5,6,0.8333333333333334,"PNN, PNT1, PNT2, PNT3, PNT4","context: Vừa sắp sách vở ra bàn, Tường bỗng nghe có tiếng chuông điện thoại. Tới hồi chuông thứ ba, em đã ở bên máy. Em nhấc ống nghe lên, áp một đầu vào tai:
- A lô! Cháu là Tường, con mẹ Bình, nghe đây ạ.
Trong ống nghe vang lên một giọng cười quen thuộc:
- Chào con. Bố đây mà. Hai mẹ con có khỏe không?
Tường mừng quýnh lên:
- Con chào bố. Con khỏe lắm. Mẹ... cũng... Bố thế nào ạ? Bao giờ bố về?
Mấy tuần sau, mẹ mệt. Nhưng Tường không muốn làm bố lo. Hình như bố nhận ra giọng ngập ngừng của em. Bố không cười nữa:
- Tuần sau bố về. Con học giỏi nhé!
- Con chào bố. Con chuyển máy cho mẹ nhé?
Quay lại bàn học, Tường bâng khuâng nghĩ đến ngày đón bố trở về. || question: Tại sao không nên nghe người khác khi họ nói chuyện điện thoại? || options: Vì như vậy là mất lịch sự. | Vì như vậy là quá lịch sự. | Vì không nên quan tâm đến người khác. | Vì nên nghe người khác nói chuyện trực tiếp.",question: Tại sao không nên nghe người khác khi họ nói chuyện điện thoại? || options: Vì như vậy là mất lịch sự. | Vì như vậy là quá lịch sự. | Vì không nên quan tâm đến người khác. | Vì nên nghe người khác nói chuyện trực tiếp.,question: Tại sao hông nên nghe người khác khi họ nói chuyện điện thoại? || options: Vì như vậy là mất lịch sự. | Vì như vậy là quá lịch sự. | Vì hông nên quan tâm tới người khác. | Vì nên nghe người khác nói chuyện trực tiếp.,question: Tại sao không nên nghie ngừi khác khi họ nuối chuyện địn thoại? || options: Vì như rứ là mất lịch sự. | Vì như rứ là quá lịch sự. | Vì không nên quan tâm đến người khác. | Vì nên nghe người khác nói chuyện trực tiếp.,question: Tại răng nỏ nên nghe người khác khi họ nói chuyện điện thoại? || options: Vì như rứa là mất lịch sự. | Vì như rứa là quá lịch sự. | Vì nỏ nên quan tâm đến người khác. | Vì nên nghe người khác nói chuyện trực tiếp.,question: Vì răng không nên nghe người khác khi họ gọi điện thoại? || options: Vì như rứa là bờ hơ. | Vì như rứa là quá lịch sự. | Vì không nên quan tâm đến người khác. | Vì nên nghe người khác nói chuyện trực tiếp.,question: Tại ren không nên nghe người khác khi họ nói chuyện điện thoại? || options: Vì như rứa là mất lịch sự. | Vì như rứa là quá lịch sự. | Vì không nên quan tâm tới người khác. | Vì nên nghe người khác nói chuyện trực tiếp.
