standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
các,mấy,31,True,"MCQA, NLI, QA, SENT",MCQA_0018_6; MCQA_0039_4; MCQA_0062_0; MCQA_0062_2; MCQA_0065_5,PNN,Negation/Function words,
như thế nào,ra sao,30,False,"MCQA, QA, SENT",MCQA_0042_7; MCQA_0081_3; MCQA_0090_10; MCQA_0095_1; MCQA_0116_5,PNN,Interrogatives,
và,với,29,True,"MCQA, NLI, QA, SENT",MCQA_0013_3; MCQA_0056_2; MCQA_0064_1; MCQA_0095_1; MCQA_0098_4,PNN,Connectives/Aspect markers,
vào,vô,27,True,"MCQA, NLI, QA, SENT",MCQA_0016_0; MCQA_0047_2; MCQA_0123_0; MCQA_0142_1; NLI_0459,PNN,Connectives/Aspect markers,
mẹ,má,25,False,"MCQA, NLI, QA, SENT",MCQA_0013_3; MCQA_0013_4; MCQA_0016_0; MCQA_0037_2; MCQA_0048_2,PNN,Kinship/Honorific terms,
khi,lúc,25,False,"MCQA, NLI, QA, SENT",MCQA_0018_4; MCQA_0025_9; MCQA_0039_4; MCQA_0047_4; MCQA_0069_5,PNN,Connectives/Aspect markers,
đến,tới,24,True,"MCQA, NLI, QA, SENT",MCQA_0037_4; MCQA_0039_4; MCQA_0055_0; MCQA_0056_1; MCQA_0064_1,PNN,Predicate vocabulary,
những,mấy,21,True,"MCQA, NLI, QA, SENT",MCQA_0047_2; MCQA_0064_1; MCQA_0072_2; MCQA_0116_5; MCQA_0126_2,PNN,Negation/Function words,
vì,tại,21,True,"MCQA, NLI, SENT",MCQA_0010_1; MCQA_0074_5; MCQA_0074_6; MCQA_0077_0; MCQA_0100_1,PNN,Connectives/Aspect markers,
vào,hồi,14,True,"MCQA, NLI, QA",MCQA_0016_0; NLI_3108; QA_12824; QA_14728; QA_17724,PNN,Connectives/Aspect markers,
bố,ba,12,False,"MCQA, SENT",MCQA_0012_0; MCQA_0013_3; MCQA_0013_4; MCQA_0014_1; MCQA_0016_0,PNN,Kinship/Honorific terms,
tại,ở,11,True,"MCQA, NLI, QA",MCQA_0062_2; NLI_0516; NLI_5263; QA_14184; QA_19280,PNN,Predicate vocabulary,
xem,coi,10,True,"MCQA, QA, SENT",MCQA_0051_4; MCQA_0114_1; QA_14257; SENT_1161; SENT_1626,PNN,Predicate vocabulary,
điều,chuyện,9,False,"MCQA, NLI, QA",MCQA_0051_4; MCQA_0074_6; MCQA_0138_5; NLI_6155; QA_18041,PNN,Predicate vocabulary,
cha,ba,8,False,"MCQA, NLI, QA, SENT",MCQA_0010_1; MCQA_0043_4; MCQA_0098_4; NLI_5735; QA_27000,PNN,Kinship/Honorific terms,
việc,chuyện,8,True,"MCQA, NLI, QA",MCQA_0013_3; MCQA_0042_7; MCQA_0074_5; MCQA_0148_3; NLI_7858,PNN,Predicate vocabulary,
bọn,tụi,6,True,SENT,SENT_0958; SENT_4745; SENT_4768; SENT_4964; SENT_5008,PNN,Pronouns,
và,rồi,6,True,"MCQA, NLI",MCQA_0091_0; MCQA_0095_1; MCQA_0100_1; MCQA_0138_5; NLI_6129,PNN,Connectives/Aspect markers,
bát,chén,6,True,MCQA,MCQA_0036_5,PNN,Predicate vocabulary,
chúng ta,tụi mình,6,False,"MCQA, SENT",MCQA_0062_0; MCQA_0065_5; MCQA_0116_6; SENT_2308; SENT_4155,PNN,Pronouns,
chúng,tụi,5,True,"MCQA, SENT",MCQA_0148_3; SENT_0696; SENT_5017,PNN,Pronouns,
bố mẹ,ba má,5,True,"MCQA, SENT",MCQA_0128_1; SENT_0192; SENT_5017; SENT_5360; SENT_5421,PNN,Kinship/Honorific terms,
người mẹ,má,5,False,MCQA,MCQA_0048_5,PNN,Kinship/Honorific terms,
hạt,hột,5,False,MCQA,MCQA_0126_2,PNN,Orthographic variant,
dí,rượt,5,False,SENT,SENT_5407; SENT_5521,PNN,Predicate vocabulary,
định,tính,5,False,MCQA,MCQA_0025_9; MCQA_0114_1,PNN,Predicate vocabulary,
hoa,bông,5,False,MCQA,MCQA_0016_0; MCQA_0100_2,PNN,Predicate vocabulary,
dẫn,dắt,4,True,MCQA,MCQA_0064_1,PNN,Predicate vocabulary,
lười,làm biếng,4,False,"MCQA, SENT",MCQA_0041_7; SENT_0462,PNN,Predicate vocabulary,
do,tại,4,True,NLI,NLI_3269; NLI_3719; NLI_4015; NLI_5704,PNN,Connectives/Aspect markers,
rằng,là,4,True,"MCQA, NLI, QA",MCQA_0042_7; MCQA_0100_1; NLI_4856; QA_15627,PNN,Connectives/Aspect markers,
bút,viết,4,False,MCQA,MCQA_0025_10,PNN,Predicate vocabulary,
quả,trái,4,True,MCQA,MCQA_0041_5; MCQA_0141_2; MCQA_0141_3,PNN,Predicate vocabulary,
rơi,rớt,4,True,MCQA,MCQA_0058_0; MCQA_0095_1; MCQA_0128_1,PNN,Predicate vocabulary,
việc,vụ,3,False,QA,QA_18786; QA_27033; QA_4380,PNN,Predicate vocabulary,
tầng,lầu,3,False,SENT,SENT_4445,PNN,Predicate vocabulary,
mắng,la,3,False,"MCQA, SENT",MCQA_0030_3; SENT_4445; SENT_5441,PNN,Predicate vocabulary,
chàng lười,ảnh làm biếng mà,3,False,MCQA,MCQA_0041_7,PNN,Idiomatic expressions,[reclassified from Multi-word idiom -> Idiomatic expressions]
như thế nào,làm sao,3,False,"MCQA, QA",MCQA_0064_1; QA_0572; QA_13818,PNN,Interrogatives,
tôi không,tui hông,3,False,"MCQA, NLI",MCQA_0138_3; NLI_4801; NLI_5143,PNN,Pronouns,[reclassified from Multi-word idiom -> Pronouns]
mảnh,miếng,3,False,MCQA,MCQA_0043_3,PNN,Predicate vocabulary,
dỗi,giận,2,False,MCQA,MCQA_0090_6,PNN,Predicate vocabulary,
vì cậu suốt ngày,tại nó cứ,2,False,MCQA,MCQA_0077_0,PNN,Predicate vocabulary,[reclassified from Multi-word idiom -> Predicate vocabulary]
vì mẹ,tại má,2,False,MCQA,MCQA_0074_5,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
ngờ,dè,2,False,SENT,SENT_1410; SENT_2308,PNN,Predicate vocabulary,
lúc,hồi,2,True,SENT,SENT_3469; SENT_5360,PNN,Connectives/Aspect markers,
thời gian,lúc,2,False,"QA, SENT",QA_7517; SENT_4035,PNN,Predicate vocabulary,
to,bự,2,False,SENT,SENT_0572; SENT_2473,PNN,Predicate vocabulary,
tìm,kiếm,2,False,MCQA,MCQA_0055_0; MCQA_0127_3,PNN,Predicate vocabulary,
giúp bố,phụ ba,2,False,MCQA,MCQA_0144_3,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
giúp mẹ,phụ má,2,False,MCQA,MCQA_0013_3; MCQA_0092_1,PNN,Kinship/Honorific terms,[reclassified from Multi-word idiom -> Kinship/Honorific terms]
khi,chừng,2,False,SENT,SENT_1579,PNN,Connectives/Aspect markers,
vờ,giả đò,2,False,MCQA,MCQA_0090_6,PNN,Predicate vocabulary,
gấu,bồ,2,False,SENT,SENT_1192; SENT_1894,PNN,Predicate vocabulary,
hôm,bữa,2,True,SENT,SENT_1410; SENT_5531,PNN,Predicate vocabulary,
trèo,leo,2,True,"MCQA, SENT",MCQA_0120_3; SENT_4745,PNN,Predicate vocabulary,
