sample_group,n_rows,n_dialects,dialects_present,is_complete
MCQA_0002_4,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0004_3,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0010_1,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0010_3,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0012_0,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0012_5,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0013_3,4,4,"PNN,PNT2,PNT3,PNT4",False
MCQA_0013_4,4,4,"PNN,PNT2,PNT3,PNT4",False
MCQA_0014_1,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
MCQA_0016_0,4,4,"PNB,PNT2,PNT3,PNT4",False
MCQA_0016_5,4,4,"PNN,PNT2,PNT3,PNT4",False
MCQA_0018_4,3,3,"PNB,PNN,PNT4",False
MCQA_0018_6,4,4,"PNN,PNT2,PNT3,PNT4",False
MCQA_0020_1,5,5,"PNB,PNT1,PNT2,PNT3,PNT4",False
MCQA_0020_2,2,2,"PNN,PNT1",False
MCQA_0025_10,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0025_9,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
MCQA_0030_1,4,4,"PNB,PNN,PNT1,PNT4",False
MCQA_0030_3,3,3,"PNT1,PNT3,PNT4",False
MCQA_0036_5,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0037_2,4,4,"PNN,PNT1,PNT2,PNT3",False
MCQA_0037_4,5,5,"PNB,PNN,PNT1,PNT3,PNT4",False
MCQA_0039_4,3,3,"PNT1,PNT3,PNT4",False
MCQA_0041_5,5,5,"PNB,PNN,PNT1,PNT2,PNT4",False
MCQA_0041_7,2,2,"PNN,PNT1",False
MCQA_0042_2,5,5,"PNB,PNN,PNT1,PNT2,PNT4",False
MCQA_0042_7,3,3,"PNT1,PNT2,PNT4",False
MCQA_0043_3,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0043_4,4,4,"PNN,PNT1,PNT3,PNT4",False
MCQA_0047_2,5,5,"PNB,PNN,PNT1,PNT2,PNT4",False
MCQA_0047_4,1,1,PNT1,False
MCQA_0048_2,5,5,"PNB,PNN,PNT1,PNT3,PNT4",False
MCQA_0048_5,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0051_0,4,4,"PNB,PNN,PNT1,PNT4",False
MCQA_0051_4,5,5,"PNB,PNT1,PNT2,PNT3,PNT4",False
MCQA_0055_0,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0055_1,3,3,"PNB,PNN,PNT1",False
MCQA_0056_1,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0056_2,4,4,"PNB,PNT1,PNT3,PNT4",False
MCQA_0058_0,5,5,"PNB,PNN,PNT1,PNT3,PNT4",False
MCQA_0060_1,5,5,"PNB,PNT1,PNT2,PNT3,PNT4",False
MCQA_0060_2,5,5,"PNB,PNN,PNT1,PNT2,PNT4",False
MCQA_0062_0,2,2,"PNB,PNT1",False
MCQA_0062_2,4,4,"PNB,PNT1,PNT3,PNT4",False
MCQA_0064_1,4,4,"PNB,PNN,PNT1,PNT2",False
MCQA_0065_2,4,4,"PNB,PNN,PNT1,PNT4",False
MCQA_0065_5,5,5,"PNB,PNT1,PNT2,PNT3,PNT4",False
MCQA_0069_1,5,5,"PNB,PNN,PNT1,PNT3,PNT4",False
MCQA_0069_5,4,4,"PNB,PNN,PNT1,PNT4",False
MCQA_0072_2,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0074_5,4,4,"PNB,PNT1,PNT2,PNT3",False
MCQA_0074_6,4,4,"PNB,PNN,PNT1,PNT4",False
MCQA_0077_0,5,5,"PNB,PNN,PNT1,PNT3,PNT4",False
MCQA_0080_0,5,5,"PNB,PNN,PNT1,PNT2,PNT4",False
MCQA_0081_3,5,5,"PNB,PNT1,PNT2,PNT3,PNT4",False
MCQA_0081_4,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0087_0,3,3,"PNB,PNT1,PNT2",False
MCQA_0090_10,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
MCQA_0090_6,4,4,"PNB,PNN,PNT1,PNT4",False
MCQA_0091_0,3,3,"PNT1,PNT3,PNT4",False
MCQA_0091_1,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0092_1,3,3,"PNN,PNT1,PNT4",False
MCQA_0092_2,6,6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",True
MCQA_0095_1,4,4,"PNT1,PNT2,PNT3,PNT4",False
MCQA_0096_0,4,4,"PNB,PNN,PNT1,PNT4",False
MCQA_0098_4,4,4,"PNN,PNT1,PNT3,PNT4",False
MCQA_0098_8,4,4,"PNN,PNT1,PNT2,PNT4",False
MCQA_0100_1,2,2,"PNT1,PNT4",False
MCQA_0100_2,4,4,"PNN,PNT1,PNT3,PNT4",False
MCQA_0104_4,3,3,"PNT1,PNT2,PNT4",False
MCQA_0106_3,5,5,"PNN,PNT1,PNT2,PNT3,PNT4",False
MCQA_0114_1,4,4,"PNB,PNT1,PNT3,PNT4",False
MCQA_0114_6,4,4,"PNN,PNT1,PNT2,PNT4",False
MCQA_0116_5,3,3,"PNN,PNT3,PNT4",False
MCQA_0116_6,3,3,"PNN,PNT3,PNT4",False
MCQA_0120_3,3,3,"PNT2,PNT3,PNT4",False
MCQA_0120_7,3,3,"PNN,PNT3,PNT4",False
