model_slug,model_short,task,standard,PNB,PNN,PNT1,PNT2,PNT3,PNT4
qwen_2_5_0_5b_instruct,Qwen2.5 0.5B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_0_5b_instruct,Qwen2.5 0.5B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_0_5b_instruct,Qwen2.5 0.5B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_0_5b_instruct,Qwen2.5 0.5B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_3b_instruct,Qwen2.5 3B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_3b_instruct,Qwen2.5 3B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_3b_instruct,Qwen2.5 3B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_3b_instruct,Qwen2.5 3B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_7b_instruct,Qwen2.5 7B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_7b_instruct,Qwen2.5 7B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_7b_instruct,Qwen2.5 7B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
qwen_2_5_7b_instruct,Qwen2.5 7B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
llama_3_1_8b_instruct,Llama 3.1 8B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
llama_3_1_8b_instruct,Llama 3.1 8B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
llama_3_1_8b_instruct,Llama 3.1 8B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
llama_3_1_8b_instruct,Llama 3.1 8B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mistral_7b_instruct_v0_3,Mistral 7B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mistral_7b_instruct_v0_3,Mistral 7B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mistral_7b_instruct_v0_3,Mistral 7B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mistral_7b_instruct_v0_3,Mistral 7B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_2_9b_it,Gemma 2 9B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_2_9b_it,Gemma 2 9B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_2_9b_it,Gemma 2 9B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_2_9b_it,Gemma 2 9B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_3_4b_it,Gemma 3 4B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_3_4b_it,Gemma 3 4B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_3_4b_it,Gemma 3 4B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gemma_3_4b_it,Gemma 3 4B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
vistral_7b_chat,Vistral 7B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
vistral_7b_chat,Vistral 7B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
vistral_7b_chat,Vistral 7B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
vistral_7b_chat,Vistral 7B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
seallm_7b_chat,SeaLLM 7B,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
seallm_7b_chat,SeaLLM 7B,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
seallm_7b_chat,SeaLLM 7B,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
seallm_7b_chat,SeaLLM 7B,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gpt_4o,GPT-4o,MCQA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gpt_4o,GPT-4o,NLI,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gpt_4o,GPT-4o,QA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
gpt_4o,GPT-4o,SENT,100.0,100.0,100.0,100.0,100.0,100.0,100.0
