standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
này tao thấy mày,ni tau chộ mi,Pronouns,1,2.7493748664855957,,2.7493748664855957,PNT2,SENT
này sao,ni răng,Interrogatives,1,2.48903751373291,,2.48903751373291,PNT3,SENT
này sao,ni ren,Interrogatives,1,2.487668991088867,,2.487668991088867,PNT4,SENT
vợ chồng tôi không hiểu,cấy dông tau nỏ khỏi nghi ngờ,Pronouns,1,2.296542167663574,,2.296542167663574,PNT3,NLI
sao nó không,răng hắn khung,Interrogatives,1,2.061220169067383,,2.061220169067383,PNT3,SENT
sao nó không,răng hấn nỏ,Interrogatives,1,2.0597095489501953,,2.0597095489501953,PNT2,SENT
cứ nào,mô,Negation/Function words,1,2.0419411659240723,,2.0419411659240723,PNT1,NLI
gì vậy nhỉ,chi ri bây,Interrogatives,1,1.9518818855285645,,1.9518818855285645,PNT4,SENT
tôi đã,tui đạ,Pronouns,1,1.9118788242340088,,1.9118788242340088,PNT3,NLI
không,nỏ có,Negation/Function words,1,1.7062442302703855,,1.7062442302703855,PNT3,NLI
vậy tôi,rứa tau,Pronouns,1,1.7015695571899414,,1.7015695571899414,PNT3,NLI
tôi đã,tau đạ,Pronouns,1,1.6786599159240725,,1.6786599159240725,PNT2,NLI
đó,đứa,Demonstratives/Deixis,1,1.6784453392028809,,1.6784453392028809,PNT1,NLI
như thế nào nhỉ,ren hè,Interrogatives,1,1.6500720977783203,,1.6500720977783203,PNT4,SENT
chúng tôi,bọn tau,Pronouns,2,1.6412947177886963,0.0,1.6412947177886963,"PNT1, PNT3",NLI
tao vậy,tau ri,Pronouns,2,1.6395196914672852,0.0,1.6395196914672852,"PNT1, PNT3",SENT
như thế nào nhỉ chắc,a răng hè e,Interrogatives,1,1.502098560333252,,1.502098560333252,PNT3,SENT
nên người ta mới gọi nó,bơ họ mì kêu hắn,Pronouns,1,1.487877368927002,,1.487877368927002,PNT2,NLI
ông ấy như thế nào,ổng ren hết,Interrogatives,1,1.486114263534546,,1.486114263534546,PNT4,NLI
gia đình,kì nhà,Kinship/Honorific terms,1,1.4770476818084717,,1.4770476818084717,PNT3,NLI
nay,ni đỏ,Demonstratives/Deixis,1,1.465073823928833,,1.465073823928833,PNT3,NLI
này tao,ni ta,Demonstratives/Deixis,1,1.4478702545166016,,1.4478702545166016,PNT4,SENT
thế nào vào,răng vô,Interrogatives,1,1.4410169124603271,,1.4410169124603271,PNT3,QA
nào thì,mô là,Interrogatives,1,1.4257676601409912,,1.4257676601409912,PNT3,QA
như thế nào nhỉ,a răng biết,Interrogatives,1,1.4124460220336914,,1.4124460220336914,PNT2,SENT
không cảm thấy,nỏ chộ,Negation/Function words,1,1.401498317718506,,1.401498317718506,PNT3,NLI
mẹ cô đã cảm thấy,mạ ả đạ chộ,Kinship/Honorific terms,1,1.382336139678955,,1.382336139678955,PNT3,NLI
anh ấy,eng nớ,Pronouns,1,1.365907907485962,,1.365907907485962,PNT3,NLI
mình không,mềng nỏ,Pronouns,1,1.3573923110961914,,1.3573923110961914,PNT3,SENT
một,kì,Negation/Function words,1,1.3529744148254397,,1.3529744148254397,PNT3,QA
này có vẻ ngoài không được,ni trông nỏ,Demonstratives/Deixis,1,1.332139015197754,,1.332139015197754,PNT3,NLI
không nhỉ,khung hè,Negation/Function words,1,1.2851731777191162,,1.2851731777191162,PNT3,SENT
này nên không mệt mỏi gì,ni bơ nỏ dọc chi,Interrogatives,1,1.2692103385925293,,1.2692103385925293,PNT3,NLI
như thế nào đối với,chi tới,Interrogatives,1,1.2332587242126465,,1.2332587242126465,PNT3,QA
nhưng không,chơ đều nỏ,Negation/Function words,1,1.2083852291107178,,1.2083852291107178,PNT3,NLI
sao ấy,ren á,Interrogatives,1,1.2008013725280762,,1.2008013725280762,PNT4,SENT
thế nào,răng rựa,Interrogatives,1,1.1748123168945312,,1.1748123168945312,PNT3,QA
nào đó,môđó,Interrogatives,1,1.149416208267212,,1.149416208267212,PNT1,SENT
cái này,cấy ni,Demonstratives/Deixis,4,1.144012212753296,0.2984097070031285,1.1729662418365479,"PNT2, PNT3",SENT
điều này đã,chuyện ni đạ,Demonstratives/Deixis,1,1.1405563354492188,,1.1405563354492188,PNT3,QA
nhỉ,dậy,Discourse particles,1,1.1380324363708496,,1.1380324363708496,PNT4,SENT
bởi vì,do cấy,Connectives/Aspect markers,1,1.1377201080322266,,1.1377201080322266,PNT2,NLI
đã làm gì khi,mần chi lúc,Interrogatives,1,1.13407564163208,,1.13407564163208,PNT3,QA
như vậy,in ri,Demonstratives/Deixis,1,1.1330618858337402,,1.1330618858337402,PNT3,NLI
thế nào,răng he,Interrogatives,1,1.1202392578125,,1.1202392578125,PNT3,QA
điều đó,cấy nớ,Demonstratives/Deixis,1,1.109145164489746,,1.109145164489746,PNT3,NLI
qua,ni,Demonstratives/Deixis,1,1.102182149887085,,1.102182149887085,PNT3,NLI
nào làm,mô mần,Interrogatives,4,1.0968472957611084,0.5695776660831124,1.0968472957611084,"PNT2, PNT3",NLI
sự việc gì,kì vụ chi đạ,Interrogatives,1,1.084110975265503,,1.084110975265503,PNT3,QA
ư,hả,Discourse particles,2,1.081273078918457,0.0,1.081273078918457,"PNN, PNT4",SENT
làm sao ấy,răng á,Interrogatives,1,1.0738410949707031,,1.0738410949707031,PNT3,SENT
người đàn ông,ci anh nớ,Idiomatic expressions,1,1.0603671073913574,,1.0603671073913574,PNT2,NLI
cậu ấy,thằng cu nớ,Pronouns,1,1.0595817565917969,,1.0595817565917969,PNT3,NLI
xem cái này,ngó cấy ni,Demonstratives/Deixis,1,1.0592622756958008,,1.0592622756958008,PNT3,SENT
nhầm hôm nay,lầm bữa ni,Demonstratives/Deixis,1,1.057967185974121,,1.057967185974121,PNT4,SENT
vào làm những,vô mần nhửng,Predicate vocabulary,1,1.0544772148132324,,1.0544772148132324,PNT2,QA
thế nào,a răng,Interrogatives,1,1.049288034439087,,1.049288034439087,PNT2,QA
