standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
chúng tôi,bọn tau,Pronouns,2,1.6412947177886963,0.0,1.6412947177886963,"PNT1, PNT3",NLI
tao vậy,tau ri,Pronouns,2,1.6395196914672852,0.0,1.6395196914672852,"PNT1, PNT3",SENT
cái này,cấy ni,Demonstratives/Deixis,4,1.144012212753296,0.2984097070031285,1.1729662418365479,"PNT2, PNT3",SENT
nào làm,mô mần,Interrogatives,4,1.0968472957611084,0.5695776660831124,1.0968472957611084,"PNT2, PNT3",NLI
ư,hả,Discourse particles,2,1.081273078918457,0.0,1.081273078918457,"PNN, PNT4",SENT
như thế nào,ơ răng,Interrogatives,5,0.9463246822357178,0.46526057280018623,1.067244052886963,PNT2,"MCQA, QA"
cô ấy,ả nớ,Pronouns,3,0.9130471547444662,0.07796955152142351,0.9005007743835449,PNT3,NLI
đó không,nớ nỏ,Demonstratives/Deixis,3,0.8921909332275391,0.26332614666443244,0.7401595115661621,"PNT2, PNT3",NLI
gặp,chộ,Predicate vocabulary,2,0.8691451549530029,0.5594441173168719,0.8691451549530029,PNT3,NLI
như thế nào,ra ren,Interrogatives,22,0.8238303661346436,0.36984231594232014,0.8965485095977783,PNT4,"MCQA, QA, SENT"
đó tao,nớ tau,Pronouns,2,0.7758474349975586,0.0,0.7758474349975586,"PNT2, PNT3",SENT
làm sao,mần răng,Interrogatives,2,0.7730894088745117,0.23638784913129304,0.7730894088745117,"PNT1, PNT2",SENT
đã không,đạ nỏ,Negation/Function words,2,0.7477978467941284,0.6966002462023578,0.7477978467941284,PNT2,"MCQA, QA"
thế này,ri,Demonstratives/Deixis,3,0.7455635070800781,0.39597080949745533,0.974177360534668,"PNT1, PNT3, PNT4",SENT
trong tương lai,sau ni,Idiomatic expressions,2,0.7319562435150146,0.0,0.7319562435150146,"PNT3, PNT4",NLI
tôi,tau,Pronouns,8,0.7182494103908539,0.45040225211863405,0.6569074392318726,"PNT1, PNT2, PNT3","NLI, SENT"
thế nào,ri,Interrogatives,2,0.7101397514343262,0.20320243213817935,0.7101397514343262,"PNT1, PNT4",SENT
thế nào,ren,Interrogatives,17,0.7086538146523869,0.3341099060376609,0.8038198947906494,PNT4,"MCQA, QA, SENT"
thế nào,răng,Interrogatives,104,0.7074407637119293,0.35148573189489124,0.7857958078384399,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
nhỉ,ta,Discourse particles,2,0.7066466808319092,0.16961409127330151,0.7066466808319092,PNN,SENT
như thế nào,ra răng,Interrogatives,11,0.6976199583573774,0.3706121267558152,0.6867966651916504,"PNT1, PNT2","MCQA, NLI, QA"
làm gì,mần cấy chi,Interrogatives,5,0.6836966037750244,0.23511457740127234,0.7108592987060547,"PNT2, PNT3","MCQA, NLI, QA"
như thế nào,à răng,Interrogatives,3,0.6814766724904379,0.4821116968020028,0.64756178855896,PNT2,"MCQA, QA"
như thế nào,a răng,Interrogatives,30,0.6750568230946858,0.3887357454172983,0.6907238960266113,"PNT2, PNT3","MCQA, QA"
mong muốn,ưng,Predicate vocabulary,3,0.6570694446563721,0.0,0.6570694446563721,"PNT1, PNT2, PNT3",NLI
cô ấy,cổ,Pronouns,11,0.6516786705363881,0.17609793401356735,0.699002742767334,"PNN, PNT4","NLI, SENT"
đâu,đi mô,Interrogatives,4,0.6512911319732666,0.0,0.6512911319732666,PNT1,MCQA
cô,con,Kinship/Honorific terms,4,0.6448091268539429,0.7350946339362067,0.6448091268539429,"PNN, PNT2","MCQA, NLI"
sợ hãi,hại,Predicate vocabulary,2,0.6409392356872559,0.0,0.6409392356872559,"PNT2, PNT3",NLI
vào,vô kì,Predicate vocabulary,2,0.6301424503326416,0.4453657482146173,0.6301424503326416,PNT3,"QA, SENT"
không thể,nỏ,Negation/Function words,2,0.6190322637557983,0.5379426496679484,0.6190322637557983,"PNT2, PNT3","QA, SENT"
nay,ni,Demonstratives/Deixis,9,0.6069345209333632,0.37094165763116205,0.6063616275787354,"PNT1, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
bây chừ,ni,Demonstratives/Deixis,2,0.5977311134338379,0.0,0.5977311134338379,"PNT2, PNT3",SENT
như thế nào,chi,Interrogatives,10,0.5934284448623657,0.3258437674186099,0.6344969272613525,"PNT2, PNT3, PNT4","MCQA, QA"
nào,mô,Interrogatives,48,0.5520658145348231,0.38824356663753046,0.4541141986846923,PNT4,"MCQA, NLI, QA, SENT"
gì đã,chi đạ,Interrogatives,5,0.5481591701507569,0.250070052514059,0.5824027061462402,"PNT2, PNT3","MCQA, NLI"
vì cậu,tại lạo,Pronouns,3,0.546600341796875,0.0,0.546600341796875,PNT2,MCQA
cô,cổ,Pronouns,4,0.5269336700439453,0.22514283428351778,0.5334949493408203,PNN,"NLI, SENT"
những,mấy cấy,Negation/Function words,2,0.5190185308456421,0.4862712877431684,0.5190185308456421,PNT2,"MCQA, NLI"
thế nào,răn,Interrogatives,8,0.5159668922424316,0.345184611009316,0.4107364416122436,PNT4,"MCQA, QA"
gì,ren,Interrogatives,2,0.5126907825469971,0.41051839669102197,0.5126907825469971,PNT4,"MCQA, QA"
thế nào,như răng,Interrogatives,4,0.5034782886505127,0.1482853889465332,0.5776209831237793,"PNT1, PNT2, PNT3","QA, SENT"
không,nọ,Negation/Function words,5,0.5014979839324951,0.32897787834130454,0.5642752647399902,"PNT2, PNT3","MCQA, NLI, QA, SENT"
chúng tôi,tụi tui,Pronouns,5,0.5010393619537353,0.4028822788544413,0.4791803359985351,PNN,"MCQA, NLI, SENT"
ấy,nứ,Demonstratives/Deixis,9,0.4968094560835097,0.19927308768088078,0.5151572227478027,PNT1,"MCQA, NLI, SENT"
vậy,ri,Demonstratives/Deixis,2,0.4961543083190918,0.32021287319763997,0.4961543083190918,"PNT2, PNT4","NLI, SENT"
làm gì,mần chi,Interrogatives,32,0.49498001486063004,0.30800875637722186,0.3697472810745239,"PNT1, PNT2, PNT3","MCQA, NLI, QA, SENT"
vì,tại/do,Connectives/Aspect markers,4,0.492750883102417,0.0,0.492750883102417,PNT4,MCQA
nó,hén,Pronouns,5,0.4915632247924805,0.31681598017175616,0.5513570308685303,PNT4,"MCQA, NLI, QA, SENT"
sao,ren,Interrogatives,14,0.48926654883793425,0.38170118406160686,0.34203338623046875,PNT4,"MCQA, SENT"
