Model,Std. score (all pairs),PNB,PNN,PNT1,PNT2,PNT3,PNT4,Dialect mean score,Overall std-dialect diff,Dialect rows n
Qwen2.5 0.5B,41.0,39.6,39.4,36.8,33.9,31.8,37.1,36.4,4.5,2400
Qwen2.5 3B,66.8,66.3,65.4,64.2,60.0,56.4,62.3,62.4,4.4,2400
Qwen2.5 7B,66.9,67.5,64.4,64.0,62.7,61.3,65.5,64.2,2.7,2400
Llama 3.1 8B,64.3,65.1,62.1,61.6,58.0,57.6,63.0,61.2,3.1,2400
Mistral 7B,52.8,55.0,49.0,52.0,45.4,43.4,49.5,49.1,3.8,2400
Gemma 2 9B,72.5,73.0,70.7,70.7,68.5,67.3,70.0,70.0,2.5,2400
Gemma 3 4B,66.6,68.0,66.2,63.5,63.2,62.1,62.9,64.3,2.3,2400
Vistral 7B,51.3,51.5,50.0,50.8,48.6,47.9,49.9,49.8,1.5,2400
SeaLLM 7B,62.1,62.8,61.1,58.7,58.0,56.9,60.0,59.6,2.5,2400
GPT-4o,77.8,77.7,75.8,77.4,76.6,75.9,77.5,76.8,1.0,2400
