task,target_dialect,n,orig_ppl_mean,orig_ppl_median,orig_ppl_std,para_ppl_mean,para_ppl_median,para_ppl_std,delta_ppl_mean,delta_ppl_median,delta_ppl_std,ratio_ppl_mean,ratio_ppl_median,ratio_ppl_std,orig_nll_mean,orig_nll_median,orig_nll_std,para_nll_mean,para_nll_median,para_nll_std,delta_nll_mean,delta_nll_median,delta_nll_std,orig_len_mean,orig_len_median,orig_len_std,para_len_mean,para_len_median,para_len_std,length_ratio_mean,length_ratio_median,length_ratio_std,delta_nll_bootstrap_ci_low,delta_nll_bootstrap_ci_high
MCQA,PNB,46,20.03703138513358,17.22267696449247,9.298437018218985,19.935053555218225,16.552274061245768,9.909519515889528,-0.10197782991535823,0.0,2.647854571210228,0.9894411759999922,1.0,0.12003330488009958,2.9057877996693486,2.846136212348938,0.4227503735001078,2.888207337130671,2.8065232038497925,0.449040716570357,-0.01758046253867771,0.0,0.1189982929854154,48.608695652173914,48.0,15.518416673058091,48.73913043478261,48.5,15.541249460149874,1.0026960956347124,1.0,0.018691445968723047,-0.05177264317222263,0.017056664565335115
MCQA,PNN,46,20.037031385133577,17.22267696449247,9.298437018218985,26.02417011885038,22.71131681155994,14.712375642202696,5.987138733716793,4.920745722782677,8.500720922474574,1.2981604230133965,1.2783975044052542,0.3131803123766645,2.9057877996693486,2.846136212348938,0.42275037350010775,3.138891225275786,3.122858762741089,0.4755550971397207,0.23310342560643735,0.24554502964019775,0.23801142531215524,48.608695652173914,48.0,15.51841667305809,48.17391304347826,48.0,15.748445211196193,0.989403289330793,1.0,0.044240302880172354,0.1663165746823601,0.30000075011149696
MCQA,PNT1,46,20.03703138513358,17.22267696449247,9.298437018218983,32.881769945134565,25.55203604469122,21.059515645932848,12.84473856000098,8.826329481337762,16.804089413718323,1.6584841369325287,1.5393006974909471,0.7603482934545697,2.9057877996693486,2.846136212348938,0.42275037350010775,3.3419088591700015,3.240336060523987,0.5345201112427366,0.43612105950065283,0.43130433559417725,0.35273070696600295,48.608695652173914,48.0,15.51841667305809,48.32608695652174,48.0,15.55499826468948,0.9936965611882497,1.0,0.01770940417973606,0.33943250399568803,0.5400307590546816
MCQA,PNT2,46,20.03703138513358,17.22267696449247,9.298437018218983,35.141409452157085,32.10932000839994,18.737790762609325,15.104378067023491,10.67887936460049,11.644807154858038,1.7440696730454364,1.6827879813726416,0.4363571261264438,2.9057877996693486,2.846136212348938,0.42275037350010775,3.4344578981399536,3.469060182571411,0.49898931243823896,0.528670098470605,0.5204519033432007,0.23234391347579134,48.608695652173914,48.0,15.51841667305809,48.56521739130435,48.0,15.587248597510072,0.9987233668036218,1.0,0.01623224985324042,0.4649138516705969,0.5956709501535995
MCQA,PNT3,46,20.037031385133577,17.22267696449247,9.298437018218985,33.28332440373608,29.69989595469528,13.581108787227445,13.2462930186025,10.795091440518576,7.398002799845371,1.7233701746846213,1.6726930831939621,0.38578522069300153,2.9057877996693486,2.846136212348938,0.42275037350010775,3.427393218745356,3.3910354375839233,0.397075088194042,0.5216054190760073,0.5144325494766235,0.2124484700155517,48.608695652173914,48.0,15.51841667305809,48.130434782608695,47.5,15.61140422988866,0.9890913635742887,1.0,0.01755518408930309,0.4614562841861144,0.5834957050240558
MCQA,PNT4,46,20.03703138513358,17.22267696449247,9.298437018218985,27.850147861122938,23.646371474951696,12.495128764863555,7.813116475989358,6.5888574868500225,6.641171802624541,1.4248686126314565,1.3507751401761163,0.35836985525444087,2.9057877996693486,2.846136212348938,0.42275037350010775,3.2276043684586235,3.1631898880004883,0.4579399103733134,0.3218165687892748,0.30067288875579834,0.2622566326440748,48.608695652173914,48.0,15.518416673058091,48.47826086956522,48.0,15.809616103898824,0.9951006227084814,1.0,0.022342018938035075,0.24139632038448167,0.3953175071788871
NLI,PNB,11,64.58269030403238,42.10799858816212,72.41070466818108,52.60789936006062,37.529948332607134,54.56192500320727,-11.974790943971756,-2.6168534630854943,23.096721999334182,0.854353365151704,0.8804551965011237,0.2250886655640858,3.8608438968658447,3.7402377128601074,0.7184447483681754,3.658342708240856,3.6251392364501953,0.7457451014199739,-0.2025011886249889,-0.12731623649597168,0.34689701291606295,18.181818181818183,18.0,5.325752187591567,18.363636363636363,19.0,5.084736517711164,1.0160398147838339,1.0,0.07236321108651399,-0.4157321734861894,-0.03612483577294785
NLI,PNN,11,64.58269030403238,42.10799858816212,72.41070466818108,150.5188126360667,62.29485591765071,249.8489293214225,85.93612233203429,11.90209670284073,181.48445246814572,1.9805884051166804,1.3234698826880331,1.4109189790754229,3.8608438968658447,3.7402377128601074,0.7184447483681754,4.34558554129167,4.131878852844238,1.0425746211634472,0.4847416444258256,0.280256986618042,0.6329482563054376,18.181818181818183,18.0,5.325752187591567,17.363636363636363,18.0,5.296654175472046,0.958370693946264,1.0,0.08608986708423891,0.14063145301558755,0.8684502812949092
NLI,PNT1,11,64.58269030403238,42.10799858816212,72.41070466818108,175.18267558916452,150.21194910636774,135.9566478503763,110.59998528513216,84.67403701657025,109.8574296774235,3.130670793311575,2.567258681753256,2.338487090901803,3.8608438968658447,3.7402377128601074,0.7184447483681754,4.79262917692011,5.012047290802002,1.0011193948028818,0.9317852800542658,0.9428386688232422,0.6706373920708629,18.181818181818183,18.0,5.325752187591567,18.09090909090909,18.0,5.430553295098861,0.993006993006993,1.0,0.023193180352135644,0.5601557384837758,1.32178752855821
NLI,PNT2,11,64.58269030403238,42.10799858816212,72.41070466818108,177.94316940735226,119.16794379726603,123.19758233527064,113.36047910331989,71.47755658980378,121.58897436241169,4.009338662041241,2.7437471267117073,3.5007805076476415,3.8608438968658447,3.7402377128601074,0.7184447483681754,4.974436196413907,4.780533790588379,0.6667349705681876,1.1135922995480625,1.009324550628662,0.7502776308929197,18.181818181818183,18.0,5.325752187591567,18.545454545454547,18.0,5.68090901817018,1.0187462463004258,1.0,0.06445661909536841,0.711512737382542,1.5645789189772172
