sample_id,task,original_text,hypothesis,dialect_text,label,target_dialect,domain,confidence,annotator_id,review_count,final_status,annotation_type,baseline_text,dialect_text_eval,orig_len,para_len,length_ratio,orig_n_tokens,orig_nll,orig_ppl,para_n_tokens,para_nll,para_ppl,delta_nll,delta_ppl,ratio_ppl
MCQA_0012_0,MCQA,"An đã xin làm gì sau khi bà mất?
A. An xin nghỉ học hẳn luôn.
B. Xin bố mẹ cho đi du lịch.
C. Nghỉ học mấy ngày liền.
D. Xin được đi học để đỡ buồn.",Nghỉ học mấy ngày liền.,"An đã xin làm gì sau khi bà mất?
A. An xin nghỉ học hẳn luôn.
B. Xin bố mẹ cho đi du lịch.
C. Nghỉ học mấy ngày liền.
D. Xin được đi học để đỡ buồn.",C,PNB,Daily Conversation,high,7e49e369-5b4e-4441-ba22-55eb0d6e2bdf,2,REVIEW_PASS,rewrite,"An đã xin làm gì sau khi bà mất?
A. An xin nghỉ học hẳn luôn.
B. Xin bố mẹ cho đi du lịch.
C. Nghỉ học mấy ngày liền.
D. Xin được đi học để đỡ buồn.","An đã xin làm gì sau khi bà mất?
A. An xin nghỉ học hẳn luôn.
B. Xin bố mẹ cho đi du lịch.
C. Nghỉ học mấy ngày liền.
D. Xin được đi học để đỡ buồn.",38,38,1.0,50,3.7448387145996094,42.302183943930494,50,3.7448387145996094,42.302183943930494,0.0,0.0,1.0
MCQA_0012_0,MCQA,"An đã xin làm gì sau khi bà mất?
A. An xin nghỉ học hẳn luôn.
B. Xin bố mẹ cho đi du lịch.
C. Nghỉ học mấy ngày liền.
D. Xin được đi học để đỡ buồn.",Nghỉ học mấy ngày liền.,"An đạ xin mần chi sau khi bà mất? 
A. An xin nghỉ học hẳn luôn. 
B. Xin bố mẹ cho đi du lịch. 
C. Nghỉ học mấy ngày liên tục. 
D. Xin được đi học cho đỡ buồn.",C,PNT2,Daily Conversation,high,603effb8-c882-4227-b5de-d83ea8816911,1,EXPERT_REVIEW_PASS,rewrite,"An đã xin làm gì sau khi bà mất?
A. An xin nghỉ học hẳn luôn.
B. Xin bố mẹ cho đi du lịch.
C. Nghỉ học mấy ngày liền.
D. Xin được đi học để đỡ buồn.","An đạ xin mần chi sau khi bà mất? 
A. An xin nghỉ học hẳn luôn. 
B. Xin bố mẹ cho đi du lịch. 
C. Nghỉ học mấy ngày liên tục. 
D. Xin được đi học cho đỡ buồn.",38,39,1.0263157894736843,50,3.7448387145996094,42.302183943930494,57,3.868378162384033,47.86469433440232,0.12353944778442383,5.562510390471829,1.131494638618296
MCQA_0012_5,MCQA,"Tại sao thầy giáo không trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.",Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.,"Tại sao thầy giáo không trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thật nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.",C,PNB,Daily Conversation,high,c6ebf7db-5dbe-4587-9564-a75d61cbc2e3,2,REVIEW_PASS,rewrite,"Tại sao thầy giáo không trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.","Tại sao thầy giáo không trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thật nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.",60,60,1.0,73,3.113865375518799,22.507877870747663,73,3.055426597595215,21.230240364874152,-0.058438777923583984,-1.2776375058735105,0.9432359854975937
MCQA_0012_5,MCQA,"Tại sao thầy giáo không trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.",Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.,"Vì răng thầy giáo nỏ trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.",C,PNT2,Daily Conversation,high,7fc87026-860f-4cf9-bb3d-46d0d55f71d9,2,REVIEW_PASS,rewrite,"Tại sao thầy giáo không trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.","Vì răng thầy giáo nỏ trách An khi biết bạn chưa làm bài tập?
A. Vì đây là lần đầu tiên An mắc lỗi.
B. Vì cả lớp đã kể cho thầy nghe.
C. Vì thầy hiểu và thông cảm hoàn cảnh của An. An cũng đã thành thực nhận lỗi.
D. Vì An đã mắc lỗi quá nhiều lần.",60,60,1.0,73,3.113865375518799,22.507877870747663,73,3.6345510482788086,37.88484061418023,0.5206856727600098,15.376962743432564,1.6831813657304946
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",D,PNB,Daily Conversation,high,7e49e369-5b4e-4441-ba22-55eb0d6e2bdf,2,REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,3.7522549629211426,42.6170736514718,0.0,0.0,1.0
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã phụ má một số công chuyện gì?
A. Chờ má đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",D,PNN,Daily Conversation,high,88759523-55db-4c51-872d-a8b43438fa82,2,REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã phụ má một số công chuyện gì?
A. Chờ má đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,4.358839511871338,78.16637062294565,0.6065845489501953,35.54929697147385,1.8341562178154422
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",D,PNT1,Daily Conversation,high,56164f4c-6810-404e-94aa-34d47c343da0,0,EXPERT_AUTO_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,3.7522549629211426,42.6170736514718,0.0,0.0,1.0
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đạ giúp mẹ một số công việc chi?
A. Chờ mẹ đi mần về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ",D,PNT2,Daily Conversation,high,9bd8c7fb-25fa-4b2d-9c1d-ab9f97e7731e,1,EXPERT_REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đạ giúp mẹ một số công việc chi?
A. Chờ mẹ đi mần về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ",35,35,1.0,48,3.7522549629211426,42.6170736514718,49,4.307772159576416,74.27483200705572,0.5555171966552734,31.657758355583923,1.742842143843225
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã giúp mẹ một số công việc chi?
A. Chờ mẹ đi làm về.
B. Học với tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",D,PNT3,Daily Conversation,high,88346002-a7b4-4be1-aec6-e1e3625416ee,2,REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc chi?
A. Chờ mẹ đi làm về.
B. Học với tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,4.173837661743164,64.9642852855374,0.4215826988220215,22.3472116340656,1.5243722695937343
MCQA_0013_4,MCQA,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vào lúc nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, còn mẹ thì chưa về.",D,PNB,Daily Conversation,high,7e49e369-5b4e-4441-ba22-55eb0d6e2bdf,2,REVIEW_PASS,rewrite,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vào lúc nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, còn mẹ thì chưa về.",42,43,1.0238095238095237,65,2.8164100646972656,16.716730841361567,66,2.8711013793945312,17.65645394936593,0.054691314697265625,0.9397231080043618,1.056214526447913
